price,year,trans,fuel,km,kw
,2017,Automat,Diesel,168000,81
,2003,Manuál,Diesel,250670,77
,2019,Automat,Benzín,58415,85
,2020,Automat,Benzín,29591,110
,2000,Manuál,Diesel,188298,66
,2004,Manuál,Diesel,300000,103
,2005,Manuál,Benzín,185000,75
,2000,Manuál,Benzín,189093,75
,2002,Manuál,Diesel,328849,74
,2000,Manuál,Diesel,365088,66
,2004,Manuál,Diesel,249000,103
,2003,Manuál,Diesel,284209,74
,2007,Manuál,Benzín,178000,75
,2006,Manuál,Benzín,233700,110
,2002,Automat,Benzín,172130,75
,2008,Manuál,Benzín,240000,75
,2006,Manuál,Benzín,217954,85
,2005,Manuál,Benzín,188000,75
,2004,Manuál,Diesel,188059,103
,2005,Manuál,Benzín,254000,75
,2004,Manuál,Diesel,217446,77
,2005,Manuál,Benzín,190300,85
,2007,Manuál,Diesel,216456,77
,2008,Manuál,Diesel,295770,77
,2007,Manuál,Diesel,193598,77
,2005,Automat,Benzín,184000,147
,2006,Manuál,Benzín,159471,75
,2005,Manuál,Diesel,220000,103
,2006,Manuál,Benzín,184405,75
,2005,Automat,Diesel,260000,103
,2007,Manuál,Diesel,304045,103
,2005,Manuál,Diesel,254350,103
,2006,Manuál,Diesel,208355,125
,2007,Manuál,Benzín,154341,75
,2007,Manuál,Benzín,193483,75
,2005,Manuál,Benzín,189000,75
,2006,Manuál,Diesel,214890,125
,2008,Manuál,Diesel,114000,77
,2009,Manuál,Benzín,182200,75
,2007,Manuál,Benzín,116878,75
,2007,Manuál,Benzín,229000,142
,2005,Manuál,Diesel,231869,77
,2006,Manuál,Benzín,178261,110
,2006,Manuál,Benzín,173255,75
,2008,Manuál,Benzín,183970,92
,2009,Manuál,Benzín,162500,92
,2007,Manuál,Benzín,119800,75
,2009,Manuál,Benzín,207158,92
,2005,Automat,Diesel,98909,103
,2009,Manuál,Diesel,178300,103
,2009,Manuál,Benzín,190467,92
,2009,Manuál,Benzín,190944,92
,2005,Manuál,Benzín,124163,85
,2008,Manuál,Diesel,251166,125
,2006,Automat,Benzín,174483,75
,2009,Automat,Benzín,111961,92
,2009,Manuál,Benzín,137000,92
,2010,Manuál,Benzín,167300,118
,2010,Manuál,Diesel,217698,77
,2007,Manuál,Benzín,118667,75
,2011,Manuál,Benzín,169904,77
,2011,Manuál,Diesel,218593,103
,2009,Manuál,Benzín,134000,92
,2010,Manuál,Diesel,118688,103
,2008,Manuál,Diesel,113538,103
,2011,Manuál,Benzín,185440,77
,2005,Automat,Benzín,220000,184
,2012,Manuál,Diesel,101150,77
,2010,Manuál,Benzín,131573,92
,2010,Automat,Diesel,229178,103
,2014,Automat,Benzín,121033,132
,2011,Manuál,Benzín,120759,92
,2009,Manuál,Diesel,210000,66
,2010,Automat,Benzín,93110,92
,2014,Manuál,Diesel,165000,110
,2013,Manuál,Diesel,197000,77
,2014,Automat,Diesel,210800,110
,2010,Manuál,Diesel,108712,125
,2015,Automat,Benzín+Plyn,188059,81
,2013,Manuál,Diesel,224146,110
,2016,Automat,Diesel,192500,81
,2016,Automat,Benzín,69244,92
,2016,Automat,Diesel,200000,110
,2013,Automat,Benzín,140901,77
,2014,Automat,Diesel,125000,77
,2015,Automat,Benzín,82000,162
,2015,Automat,Benzín,73306,92
,2019,Automat,Diesel,207900,110
,2018,Manuál,Diesel,37984,85
,2020,Automat,Benzín,29050,110
,2019,Automat,Diesel,87952,110
,2014,Automat,Benzín,139000,221
,2022,Automat,Benzín,40,110
,2022,Automat,Benzín,40,110
