price,year,trans,fuel,km,kw
,2016,Automat,Diesel,132738.0,283
55500.0,2018,Automat,Hybrid,111000.0,210
17950.0,2010,Automat,Diesel,212122.0,184
,2018,Automat,Hybrid,125000.0,210
,2016,Automat,Diesel,350000.0,283
,2018,Automat,Diesel,92000.0,210
111.0,2017,Automat,Diesel,110000.0,193
5500.0,1996,Automat,Benzín+Plyn,404000.0,220
6499.0,2006,Automat,Diesel,330000.0,171
7990.0,2006,Automat,Diesel,258000.0,171
,2011,Automat,Diesel,165000.0,184
20000.0,2013,Automat,Diesel,265000.0,184
,2011,Automat,Diesel,183000.0,184
24990.0,2015,Automat,Diesel,340000.0,190
,2018,Automat,Diesel,97321.0,210
,2018,Automat,Diesel,106000.0,210
850.0,2002,Automat,Benzín,280000.0,228
850.0,2000,Automat,Benzín,,191
1500.0,1997,Automat,Benzín,275000.0,169
1500.0,1997,Automat,Benzín+Plyn,260000.0,142
2160.0,1998,Automat,Diesel,299952.0,110
2596.0,2004,Automat,Diesel,412000.0,202
2750.0,2001,Automat,Diesel,260000.0,165
2999.0,1997,Automat,Benzín,335000.0,220
3899.0,2001,Automat,Benzín,370000.0,228
5500.0,2004,Automat,Diesel,325000.0,171
5800.0,2003,Automat,Diesel,280000.0,202
5880.0,2007,Automat,Diesel,408000.0,171
6900.0,2006,Automat,Diesel,374000.0,171
6990.0,2005,Automat,Diesel,251493.0,171
6990.0,2006,Automat,Benzín,340000.0,246
6999.0,2007,Automat,Diesel,256206.0,240
7650.0,2005,Automat,Diesel,255000.0,171
7999.0,2007,Automat,Diesel,277000.0,240
8200.0,2007,Automat,Diesel,227250.0,171
8500.0,2005,Automat,Diesel,304850.0,171
8999.0,2006,Automat,Diesel,270500.0,171
9200.0,2006,Automat,Benzín+Plyn,260000.0,246
10300.0,2008,Automat,Diesel,301000.0,171
,2018,Automat,Hybrid,101823.0,210
10500.0,2008,Automat,Diesel,276000.0,171
10556.0,2007,Automat,Diesel,232620.0,171
,2006,Automat,Benzín,294641.0,246
11000.0,2008,Automat,Diesel,252430.0,171
11000.0,2006,Automat,Diesel,178000.0,171
12999.0,2011,Automat,Diesel,225000.0,258
14290.0,2011,Automat,Diesel,217723.0,184
14500.0,2010,Automat,Diesel,311000.0,184
14900.0,2012,Automat,Diesel,310000.0,184
14900.0,2006,Automat,Benzín,99000.0,257
14900.0,2010,Automat,Benzín,210400.0,213
,2011,Automat,Diesel,238289.0,258
14999.0,2011,Automat,Diesel,303158.0,184
15500.0,2011,Automat,Diesel,295602.0,184
15999.0,2013,Automat,Diesel,217900.0,184
16000.0,2010,Automat,Diesel,230000.0,184
16990.0,2011,Automat,Diesel,291000.0,184
17490.0,2011,Automat,Diesel,322000.0,184
17800.0,2010,Automat,Diesel,254304.0,258
17950.0,2012,Automat,Diesel,336042.0,184
17990.0,2011,Automat,Diesel,241000.0,184
17160.0,2011,Automat,Diesel,253000.0,184
,2012,Automat,Diesel,205879.0,184
18800.0,2012,Automat,Diesel,253900.0,184
18900.0,2013,Automat,Benzín,215000.0,213
18999.0,2012,Automat,Diesel,181000.0,184
19000.0,2010,Automat,Diesel,277000.0,258
19000.0,2012,Automat,Diesel,254183.0,184
,2011,Automat,Diesel,318000.0,240
19500.0,2012,Automat,Diesel,285500.0,184
19500.0,2010,Automat,Benzín,226000.0,273
19700.0,2012,Automat,Diesel,227285.0,184
,2015,Automat,Diesel,113012.0,190
,2014,Automat,Diesel,260000.0,190
22999.0,2013,Automat,Diesel,360000.0,190
23000.0,2012,Automat,Diesel,,246
24000.0,2012,Automat,Diesel,178592.0,184
