price,year,trans,fuel,km,kw
,2021,Automat,Elektro,11000,230
,2021,Automat,Elektro,9800,230
,2022,Automat,Elektro,500,370
,2021,Automat,Elektro,4000,350
,2022,Automat,Elektro,500,440
,2020,Automat,Elektro,48510,230
,2020,Automat,Elektro,69490,230
,2020,Automat,Elektro,39430,230
,2020,Automat,Elektro,20720,230
,2020,Automat,Elektro,26700,230
,2020,Automat,Elektro,24430,230
,2020,Automat,Elektro,24000,230
,2020,Automat,Elektro,14530,230
59900.0,2020,Automat,Elektro,57477,158
,2020,Automat,Elektro,32000,230
,2020,Automat,Elektro,16990,300
,2021,Automat,Elektro,19900,230
,2019,Automat,Elektro,23900,300
,2020,Automat,Elektro,14120,230
,2020,Automat,Elektro,34860,300
,2021,Automat,Elektro,15100,230
,2020,Automat,Elektro,25900,300
,2021,Automat,Elektro,15560,300
,2020,Automat,Elektro,6580,300
,2020,Automat,Elektro,11120,300
,2019,Automat,Elektro,39000,300
,2021,Automat,Elektro,24540,300
,2020,Automat,Elektro,14020,300
,2020,Automat,Elektro,18690,300
,2020,Automat,Elektro,13890,300
,2020,Automat,Elektro,6690,300
74950.0,2020,Automat,Elektro,11520,300
,2020,Automat,Elektro,4230,300
,2020,Automat,Elektro,14390,300
,2020,Automat,Elektro,16990,300
,2020,Automat,Elektro,6970,300
,2020,Automat,Elektro,6970,300
,2020,Automat,Elektro,8690,300
,2021,Automat,Elektro,12590,300
,2021,Automat,Elektro,15660,300
,2022,Automat,Elektro,4500,230
,2020,Automat,Elektro,4690,300
,2021,Automat,Elektro,12990,300
,2020,Automat,Elektro,5100,300
82403.0,2022,Automat,Elektro,40,77
,2021,Automat,Elektro,17590,300
,2021,Automat,Elektro,10199,300
,2021,Automat,Elektro,12500,300
,2022,Automat,Elektro,8900,300
,2021,Automat,Benzín,17500,370
,2021,Automat,Elektro,53000,370
,2021,Automat,Elektro,29000,440
,2023,Automat,Elektro,12,440
