price,year,trans,fuel,km,kw
12490.0,2015,Manuál,Diesel,192000,140.0
12500.0,2012,Automat,Diesel,228170,160.0
12950.0,2012,Automat,Diesel,231000,135.0
60900.0,2022,Automat,Benzín,9000,245.0
26499.0,2018,Automat,Diesel,173200,195.0
15400.0,2012,Automat,Diesel,225000,230.0
,2018,Automat,Diesel,196000,195.0
29990.0,2018,Automat,Diesel,166262,140.0
32990.0,2018,Automat,Diesel,70269,140.0
11490.0,2012,Automat,Diesel,325000,160.0
,2019,Automat,Benzín,84100,185.0
,2017,Automat,Benzín,80000,340.0
3700.0,2006,Manuál,Diesel,390000,120.0
,2020,Automat,Diesel,32700,210.0
37500.0,2016,Automat,Diesel,147700,195.0
,2018,Automat,Benzín,118595,185.0
2689.0,1998,Manuál,Benzín,380000,142.0
,2018,Automat,Diesel,179000,140.0
5500.0,2008,Automat,Diesel,320000,130.0
7400.0,2006,Manuál,Diesel,340867,170.0
8000.0,2008,Automat,Benzín,230000,200.0
11500.0,2011,Automat,Benzín,244000,225.0
12500.0,2010,Automat,Diesel,183000,180.0
13500.0,2011,Automat,Diesel,245000,180.0
16499.0,2016,Automat,Diesel,275000,190.0
16599.0,2014,Automat,Diesel,252846,230.0
19900.0,2010,Automat,Diesel,128417,220.0
20990.0,2012,Automat,Diesel,148500,160.0
23990.0,2017,Automat,Diesel,281062,195.0
24000.0,2018,Automat,Diesel,164000,140.0
27000.0,2016,Automat,Diesel,110000,190.0
,2019,Automat,Diesel,122000,140.0
28290.0,2017,Automat,Benzín,157000,185.0
31500.0,2019,Automat,Benzín,21000,135.0
,2018,Automat,Diesel,85910,195.0
,2019,Automat,Diesel,50000,140.0
,2018,Automat,Benzín,128000,250.0
,2018,Automat,Benzín,148900,250.0
35000.0,2021,Automat,Diesel,21000,140.0
,2019,Automat,Diesel,127500,195.0
,2018,Automat,Diesel,91500,195.0
,2016,Automat,Diesel,152000,195.0
,2020,Automat,Diesel,65900,195.0
,2020,Automat,Diesel,37000,195.0
48900.0,2020,Automat,Benzín,31500,185.0
,2020,Automat,Diesel,49400,210.0
,2020,Automat,Diesel,70500,210.0
,2022,Automat,Diesel,16000,140.0
,2021,Automat,Diesel,84400,210.0
,2021,Automat,Diesel,66700,210.0
,2020,Automat,Diesel,37600,210.0
,2021,Automat,Diesel,53500,210.0
,2022,Automat,Hybrid,20900,215.0
,2021,Automat,Diesel,28045,210.0
,2023,Automat,Diesel,1,140.0
1350.0,1999,Manuál,Diesel,362613,105.0
1900.0,1999,Automat,Diesel,270000,135.0
2499.0,2000,Automat,Diesel,350000,135.0
2499.0,2000,Automat,Diesel,350000,135.0
2500.0,2001,Automat,Diesel,250600,120.0
2500.0,2002,Automat,Diesel,480000,142.0
2790.0,2007,Automat,Diesel,400000,173.0
2796.0,1997,Manuál,Benzín,139000,110.0
2990.0,2001,Automat,Diesel,318000,142.0
2999.0,2006,Automat,Diesel,354829,130.0
3100.0,2002,Automat,Benzín,285820,170.0
3300.0,1994,Automat,Diesel,306500,105.0
3196.0,2008,Automat,Benzín,320000,160.0
3600.0,2002,Manuál,Diesel,400000,142.0
3392.0,2006,Manuál,Diesel,391000,130.0
3396.0,2003,Manuál,Benzín,253625,125.0
3699.0,1999,Automat,Benzín,360000,210.0
3592.0,2002,Manuál,Diesel,269000,100.0
3999.0,2005,Automat,Benzín,372000,190.0
3999.0,2004,Automat,Diesel,338533,160.0
4000.0,2004,Automat,Diesel,378000,160.0
3800.0,2006,Automat,Diesel,398000,170.0
4200.0,2002,Manuál,Diesel,314000,120.0
,2013,Automat,Diesel,200000,160.0
3996.0,2003,Manuál,Benzín,304400,125.0
4290.0,2005,Automat,Diesel,258000,160.0
4500.0,2004,Manuál,Benzín,252000,170.0
4500.0,2005,Automat,Diesel,342000,170.0
4500.0,1992,Manuál,Diesel,99999999,105.0
4700.0,2008,Manuál,Diesel,381600,130.0
4700.0,2006,Manuál,Diesel,205000,130.0
4800.0,2005,Manuál,Benzín,350000,125.0
4900.0,2004,Automat,Benzín,310000,141.0
4900.0,1999,Manuál,Benzín,262000,110.0
5000.0,2007,Automat,Diesel,358000,173.0
5000.0,2001,Automat,Benzín+Plyn,310000,170.0
5000.0,2007,Automat,Diesel,239215,170.0
4796.0,2005,Automat,Diesel,240003,170.0
5300.0,2007,Manuál,Diesel,298000,130.0
5343.0,2007,Automat,Diesel,231051,103.0
5390.0,2007,Automat,Diesel,228655,130.0
5490.0,2006,Automat,Diesel,396598,170.0
5500.0,2018,Automat,Diesel,180000,140.0
5500.0,2006,Automat,Diesel,267000,170.0
5500.0,2005,Automat,Diesel,321000,
5500.0,2004,Automat,Benzín,315000,170.0
5196.0,1998,Manuál,Benzín,285520,142.0
5600.0,2005,Automat,Diesel,203899,130.0
5600.0,2009,Automat,Diesel,405000,145.0
5600.0,2008,Automat,Diesel,274689,173.0
5700.0,2004,Automat,Diesel,293000,160.0
5400.0,2005,Automat,Diesel,252000,130.0
5900.0,2005,Automat,Benzín,320000,141.0
5950.0,2006,Automat,Diesel,217311,170.0
5596.0,2005,Manuál,Benzín,234970,190.0
5596.0,2004,Manuál,Diesel,275585,160.0
5990.0,2008,Manuál,Diesel,251133,130.0
5990.0,2008,Automat,Diesel,305000,173.0
5999.0,2005,Automat,Diesel,343000,160.0
5999.0,1995,Manuál,Benzín,197000,83.0
5999.0,2006,Automat,Diesel,245134,130.0
5999.0,2008,Automat,Diesel,310000,130.0
6000.0,2006,Automat,Diesel,305698,170.0
6000.0,2004,Manuál,Diesel,423500,200.0
6300.0,2008,Automat,Diesel,287464,145.0
6350.0,2007,Manuál,Diesel,290000,120.0
6350.0,2006,Automat,Diesel,321000,170.0
5960.0,1997,Manuál,Benzín,225628,110.0
6400.0,2009,Manuál,Diesel,254689,130.0
6400.0,2010,Manuál,Diesel,272800,120.0
6400.0,2010,Automat,Diesel,252522,130.0
5999.0,2006,Manuál,Benzín,203046,160.0
6500.0,2007,Manuál,Diesel,210532,120.0
6500.0,2007,Automat,Diesel,355700,173.0
6500.0,2005,Automat,Benzín,236114,190.0
6590.0,2009,Automat,Diesel,304000,173.0
6600.0,2006,Manuál,Benzín,285000,160.0
6600.0,2008,Manuál,Diesel,277000,173.0
6600.0,2006,Manuál,Benzín,285000,160.0
6617.0,2005,Automat,Benzín,200941,130.0
6617.0,2008,Manuál,Benzín,197400,140.0
,2003,Automat,Benzín,202038,170.0
6650.0,2010,Manuál,Diesel,290000,120.0
6700.0,2003,Manuál,Benzín,167300,125.0
6831.0,2008,Automat,Diesel,187629,145.0
6831.0,2005,Automat,Diesel,211368,160.0
7000.0,2008,Automat,Diesel,280000,135.0
7200.0,2008,Automat,Diesel,314000,173.0
6752.0,2004,Automat,Diesel,230000,160.0
6792.0,2006,Manuál,Diesel,176000,110.0
,2009,Automat,Diesel,250623,145.0
7300.0,2009,Manuál,Benzín,207098,140.0
7490.0,2010,Automat,Diesel,287000,145.0
7500.0,2008,Automat,Diesel,393000,145.0
7500.0,2009,Automat,Diesel,227189,130.0
7199.0,2009,Automat,Diesel,257290,145.0
7700.0,2007,Automat,Diesel,217000,170.0
7700.0,2009,Automat,Benzín,254548,200.0
7727.0,2005,Manuál,Benzín,244505,160.0
,2012,Automat,Diesel,362000,230.0
7800.0,2004,Manuál,Diesel,192219,160.0
7800.0,2006,Manuál,Benzín,197211,200.0
7990.0,2009,Automat,Diesel,317000,145.0
7990.0,2009,Manuál,Diesel,212000,130.0
7999.0,2009,Manuál,Diesel,339489,173.0
8000.0,2007,Automat,Diesel,264723,145.0
8000.0,2009,Automat,Diesel,293000,
8000.0,2006,Automat,Diesel,225000,200.0
7599.0,2010,Automat,Diesel,232146,130.0
8400.0,2006,Automat,Diesel,285000,170.0
8500.0,2010,Automat,Diesel,220000,120.0
8600.0,2010,Manuál,Diesel,286672,150.0
8800.0,2016,Automat,Diesel,111866,140.0
8396.0,2009,Automat,Diesel,195110,173.0
8999.0,2008,Automat,Diesel,248000,173.0
9000.0,2011,Automat,Diesel,275000,180.0
,2018,Automat,Benzín,123445,250.0
9100.0,2012,Automat,Diesel,362000,135.0
9600.0,2010,Manuál,Diesel,303000,135.0
9160.0,2012,Automat,Diesel,318202,160.0
9199.0,2008,Automat,Diesel,264220,210.0
9900.0,2008,Manuál,Benzín,218000,200.0
9318.0,2008,Automat,Diesel,192148,173.0
9990.0,2010,Manuál,Diesel,389706,150.0
9990.0,2010,Automat,Diesel,302324,150.0
16900.0,2012,Automat,Diesel,236100,230.0
16990.0,2015,Automat,Diesel,210585,160.0
16999.0,2013,Automat,Diesel,295766,230.0
17000.0,2013,Automat,Diesel,320000,280.0
15999.0,2015,Automat,Diesel,232635,160.0
17100.0,2012,Automat,Diesel,320000,190.0
17490.0,2016,Automat,Diesel,143000,140.0
17490.0,2011,Automat,Diesel,177000,220.0
17499.0,2013,Automat,Diesel,239594,280.0
,2015,Automat,Diesel,220000,190.0
17699.0,2012,Automat,Diesel,171000,190.0
,2015,Manuál,Diesel,170759,160.0
17999.0,2012,Automat,Diesel,90000,135.0
18000.0,2014,Automat,Diesel,241000,190.0
18000.0,2011,Automat,Diesel,205000,220.0
18200.0,2015,Automat,Diesel,92346,140.0
18800.0,2016,Manuál,Diesel,104700,110.0
,2014,Automat,Diesel,99000,140.0
17960.0,2011,Automat,Diesel,178069,190.0
17992.0,2015,Automat,Diesel,200000,190.0
19490.0,2012,Automat,Diesel,172692,230.0
19500.0,2012,Automat,Diesel,179000,220.0
19638.0,2014,Manuál,Diesel,58094,135.0
,2012,Automat,Diesel,105000,180.0
,2012,Automat,Diesel,193000,220.0
19990.0,2016,Automat,Diesel,178000,135.0
,2015,Automat,Diesel,223850,190.0
,2016,Automat,Diesel,225000,190.0
19999.0,2015,Automat,Diesel,194000,190.0
,2014,Automat,Diesel,165134,160.0
20000.0,2010,Automat,Diesel,201621,220.0
20000.0,2015,Automat,Diesel,116000,140.0
20000.0,2012,Automat,Diesel,193000,220.0
,2016,Automat,Diesel,164325,140.0
20499.0,2014,Automat,Diesel,169000,190.0
20500.0,2016,Automat,Diesel,169585,190.0
20500.0,2016,Automat,Diesel,170000,
20800.0,2014,Automat,Diesel,169000,190.0
20900.0,2014,Automat,Diesel,212830,190.0
20999.0,2015,Automat,Diesel,111331,140.0
20999.0,2016,Automat,Diesel,120516,140.0
21000.0,2016,Automat,Diesel,196000,140.0
,2012,Automat,Diesel,217996,280.0
21990.0,2016,Automat,Diesel,168197,190.0
22000.0,2015,Automat,Diesel,125000,140.0
,2014,Automat,Diesel,198000,280.0
,2016,Automat,Diesel,102613,140.0
,2014,Automat,Diesel,120000,190.0
22990.0,2011,Automat,Diesel,183000,220.0
,2011,Automat,Diesel,230580,180.0
23000.0,2015,Automat,Diesel,113236,190.0
21999.0,2016,Automat,Diesel,157539,230.0
23500.0,2016,Automat,Diesel,189000,190.0
23900.0,2013,Automat,Diesel,283423,190.0
,2014,Automat,Diesel,201000,280.0
22400.0,2013,Automat,Diesel,11000,230.0
23990.0,2015,Automat,Diesel,124500,190.0
,2017,Manuál,Diesel,117691,140.0
24700.0,2014,Automat,Diesel,130474,190.0
24700.0,2016,Automat,Diesel,130274,190.0
,2015,Automat,Diesel,167731,190.0
,2016,Automat,Diesel,214000,190.0
,2015,Automat,Diesel,189640,190.0
24999.0,2018,Automat,Benzín,262000,250.0
25200.0,2014,Automat,Diesel,108532,190.0
,2017,Automat,Diesel,184000,140.0
25500.0,2015,Automat,Diesel,161000,230.0
23999.0,2015,Automat,Diesel,187171,230.0
25990.0,2015,Automat,Diesel,150900,280.0
26000.0,2017,Automat,Diesel,194902,140.0
26900.0,2020,Automat,Hybrid,62740,140.0
27000.0,2017,Automat,Diesel,198000,195.0
27500.0,2016,Automat,Diesel,172000,190.0
27990.0,2017,Automat,Diesel,95910,140.0
27990.0,2017,Automat,Diesel,187173,195.0
,2014,Automat,Diesel,198000,280.0
28000.0,2016,Automat,Diesel,180000,230.0
,2018,Automat,Diesel,141000,140.0
,2018,Automat,Diesel,126000,140.0
28500.0,2017,Automat,Diesel,153000,140.0
28500.0,2015,Automat,Diesel,118000,230.0
,2017,Automat,Diesel,114192,190.0
,2018,Automat,Diesel,82105,140.0
,2018,Automat,Diesel,167000,140.0
29250.0,2017,Automat,Hybrid,115377,185.0
,2018,Automat,Diesel,111048,140.0
,2018,Automat,Diesel,138471,140.0
29750.0,2015,Automat,Diesel,151000,190.0
,2018,Automat,Diesel,102225,140.0
,2017,Automat,Diesel,121000,140.0
,2019,Automat,Diesel,78659,140.0
,2019,Automat,Diesel,103000,140.0
,2019,Automat,Benzín,70270,135.0
,2018,Automat,Diesel,131600,140.0
,2018,Automat,Diesel,60987,140.0
,2019,Automat,Hybrid,146899,185.0
,2019,Automat,Diesel,56404,140.0
,2019,Automat,Hybrid,103105,185.0
,2018,Automat,Diesel,149899,195.0
31490.0,2017,Automat,Diesel,183000,195.0
31500.0,2018,Automat,Diesel,69000,140.0
,2019,Automat,Diesel,91423,140.0
,2018,Automat,Hybrid,77282,185.0
,2017,Automat,Diesel,94200,140.0
,2019,Automat,Diesel,119698,140.0
31999.0,2017,Automat,Diesel,143000,140.0
,2016,Automat,Benzín,181980,250.0
,2019,Automat,Diesel,149200,140.0
32000.0,2018,Automat,Diesel,166390,183.0
,2017,Automat,Diesel,184200,195.0
,2019,Automat,Hybrid,92636,185.0
,2019,Automat,Hybrid,80980,135.0
,2019,Automat,Diesel,61128,140.0
,2018,Automat,Hybrid,137000,135.0
32500.0,2017,Automat,Diesel,113300,195.0
32800.0,2019,Automat,Diesel,119290,140.0
,2019,Automat,Hybrid,86410,185.0
,2017,Automat,Diesel,80760,140.0
,2017,Automat,Benzín,113000,185.0
,2017,Automat,Diesel,120000,140.0
,2016,Automat,Diesel,177000,135.0
,2017,Automat,Diesel,89300,140.0
,2020,Automat,Diesel,66583,140.0
,2020,Automat,Diesel,59972,140.0
,2020,Automat,Hybrid,94829,185.0
,2018,Automat,Diesel,61000,140.0
,2020,Automat,Hybrid,93000,135.0
34500.0,2017,Automat,Diesel,115000,140.0
34990.0,2017,Automat,Diesel,109000,195.0
34990.0,2017,Automat,Diesel,154000,195.0
,2018,Automat,Hybrid,112486,135.0
,2017,Automat,Benzín,125000,250.0
,2017,Automat,Diesel,150100,195.0
,2018,Automat,Hybrid,80522,135.0
,2017,Automat,Diesel,98034,140.0
36212.0,2017,Automat,Diesel,97100,195.0
,2020,Automat,Diesel,44838,140.0
,2017,Automat,Diesel,93000,195.0
,2017,Automat,Benzín,67000,250.0
,2017,Automat,Diesel,135000,195.0
37000.0,2020,Automat,Diesel,100000,195.0
,2018,Automat,Hybrid,38000,185.0
37500.0,2019,Automat,Benzín,106500,250.0
,2018,Automat,Diesel,160000,195.0
,2018,Automat,Benzín,111598,250.0
,2017,Automat,Diesel,70000,195.0
,2017,Automat,Diesel,54178,140.0
,2020,Automat,Hybrid,42217,185.0
,2020,Automat,Diesel,34012,140.0
,2019,Automat,Benzín,29000,135.0
,2020,Automat,Diesel,59229,140.0
,2020,Automat,Hybrid,55756,185.0
,2017,Automat,Benzín,73000,250.0
,2019,Automat,Diesel,120000,140.0
,2018,Automat,Diesel,89000,140.0
,2017,Automat,Diesel,141263,195.0
,2019,Automat,Hybrid,12260,185.0
