price,year,trans,fuel,km,kw
3000.0,2009,Manuál,Benzín,134000,54.0
3790.0,2010,Manuál,Benzín,167784,54.0
4499.0,2009,Manuál,Benzín,165000,70.0
,2017,Manuál,Diesel,166798,55.0
,2022,Manuál,Benzín,2,61.0
,2022,Manuál,Benzín,2,81.0
800.0,2005,Manuál,Benzín,280000,44.0
890.0,2004,Manuál,Diesel,380000,66.0
900.0,2002,Manuál,Diesel,140000,50.0
1095.0,2005,Manuál,Diesel,115864,50.0
1100.0,2007,Manuál,Benzín,136565,44.0
1100.0,2005,Manuál,Diesel,210000,50.0
1150.0,2005,Manuál,Benzín,181584,44.0
1200.0,2006,Manuál,Benzín,111000,44.0
1298.0,2008,Manuál,Benzín,82074,44.0
1300.0,2006,Manuál,Benzín,155045,44.0
1300.0,2005,Manuál,Benzín,200491,54.0
1400.0,2002,Manuál,Benzín,133700,55.0
1400.0,2002,Manuál,Benzín,133700,
1396.0,2004,Manuál,Diesel,203110,50.0
1589.0,2007,Manuál,Benzín,95191,44.0
1608.0,2006,Manuál,Benzín,148510,44.0
1651.0,2004,Manuál,Diesel,222339,50.0
1704.0,2007,Manuál,Benzín,54122,44.0
1760.0,2004,Manuál,Benzín,157823,54.0
1850.0,2007,Manuál,Benzín,83900,44.0
1890.0,2008,Manuál,Benzín,80000,51.0
1900.0,2006,Manuál,Benzín,89000,44.0
1906.0,2010,Manuál,Diesel,322040,50.0
1990.0,2005,Manuál,Benzín,170000,44.0
1990.0,2003,Manuál,Diesel,184348,50.0
1999.0,2002,Manuál,Diesel,299089,50.0
2000.0,2006,Manuál,Benzín,98400,44.0
2000.0,2005,Manuál,Diesel,153977,50.0
2100.0,2003,Manuál,Benzín,102759,44.0
1999.0,2007,Manuál,Benzín,140977,44.0
2200.0,2005,Manuál,Benzín,131650,44.0
2200.0,2003,Manuál,Benzín,180000,80.0
2200.0,2006,Manuál,Benzín,95836,44.0
2200.0,2008,Manuál,Benzín,143026,54.0
2233.0,2006,Manuál,Benzín,196570,54.0
2290.0,2003,Manuál,Diesel,189012,50.0
2300.0,2007,Manuál,Benzín,127219,54.0
2390.0,2009,Manuál,Benzín,168000,66.0
2433.0,2003,Manuál,Benzín,127766,44.0
,2006,Manuál,Benzín,109921,44.0
2500.0,2006,Manuál,Diesel,218500,50.0
2527.0,2005,Manuál,Diesel,146685,50.0
2539.0,2008,Manuál,Benzín,98731,44.0
2590.0,2007,Manuál,Benzín,105900,44.0
2600.0,2009,Manuál,Benzín,101261,54.0
2690.0,2003,Automat,Benzín,145865,80.0
2690.0,2008,Manuál,Benzín,103000,54.0
2700.0,2005,Manuál,Benzín,107266,44.0
2640.0,2010,Manuál,Benzín,121000,44.0
2800.0,2008,Manuál,Benzín,112000,55.0
2796.0,2009,Manuál,Diesel,158400,50.0
2962.0,2008,Manuál,Benzín,128607,54.0
2990.0,2009,Manuál,Benzín,141336,54.0
2990.0,2007,Manuál,Benzín,174228,44.0
