price,year,trans,fuel,km,kw
11650.0,2014,Manuál,Diesel,165000,88
15400.0,2018,Manuál,Benzín,70000,95
10490.0,2014,Manuál,Diesel,156500,88
,2017,Manuál,Benzín,46000,235
1190.0,2008,Manuál,Benzín,179000,103
1238.0,1996,Manuál,Benzín,151042,66
1196.0,2008,Manuál,Benzín,200000,103
1400.0,2002,Manuál,Benzín,303775,66
1800.0,2006,Manuál,Diesel,365320,103
1899.0,2000,Manuál,Benzín,237000,66
2000.0,2005,Manuál,Benzín,213500,66
2231.0,2010,Manuál,Benzín,205784,73
2499.0,2006,Manuál,Benzín,284514,61
2500.0,2004,Manuál,Diesel,238000,74
2500.0,2006,Manuál,Diesel,358000,103
2360.0,2003,Manuál,Benzín,102000,81
2600.0,2001,Manuál,Benzín,168000,81
2600.0,2002,Manuál,Benzín,255200,81
2650.0,2002,Manuál,Benzín,304000,66
2700.0,2007,Manuál,Diesel,207297,103
2799.0,2005,Manuál,Diesel,178046,74
2990.0,2012,Manuál,Benzín,65000,73
,1990,Manuál,Benzín,152000,66
3000.0,2004,Manuál,Benzín,172310,81
3500.0,2007,Manuál,Diesel,277000,103
3500.0,2007,Manuál,Diesel,173138,103
3600.0,2006,Manuál,Benzín,278000,103
3843.0,2007,Manuál,Diesel,157458,103
3971.0,2006,Manuál,Diesel,233804,103
3796.0,2008,Manuál,Diesel,246750,103
4100.0,2006,Manuál,Diesel,252000,103
4227.0,2006,Manuál,Benzín,171640,61
,2006,Manuál,Diesel,297000,103
4300.0,2007,Manuál,Diesel,164410,103
4300.0,2008,Manuál,Benzín,178257,103
4390.0,2006,Manuál,Diesel,204700,103
4483.0,2006,Manuál,Benzín,181802,103
4499.0,2007,Manuál,Diesel,214724,103
4499.0,2007,Manuál,Diesel,192338,103
4500.0,2006,Manuál,Diesel,236000,103
4500.0,2007,Manuál,Diesel,96000,103
4500.0,2008,Manuál,Diesel,167000,103
4396.0,2006,Manuál,Benzín,173200,61
4399.0,2006,Automat,Benzín,182230,70
4700.0,2006,Automat,Benzín,225712,103
4800.0,2008,Manuál,Benzín,187965,103
4890.0,2007,Manuál,Benzín,231061,61
4900.0,2007,Manuál,Benzín,216362,103
4990.0,2006,Manuál,Benzín,210664,61
4999.0,2007,Manuál,Benzín,175962,61
5010.0,2009,Manuál,Benzín,132250,73
5069.0,2010,Automat,Benzín,122391,103
5200.0,2008,Manuál,Benzín,184500,73
5400.0,2010,Manuál,Benzín+Plyn,177316,73
5465.0,2008,Manuál,Benzín,152087,61
