price,year,trans,fuel,km,kw
14990.0,2018,Automat,Diesel,181218.0,110.0
14990.0,2017,Manuál,Diesel,166493.0,110.0
,2019,Manuál,Benzín,81454.0,85.0
13000.0,2014,Manuál,Diesel,245000.0,125.0
2950.0,1999,Manuál,Diesel,218000.0,85.0
,2019,Automat,Diesel,140000.0,85.0
,2013,Automat,Diesel,151000.0,77.0
,2018,Automat,Diesel,127000.0,85.0
,2020,Manuál,Benzín,16227.0,96.0
,2017,Automat,Benzín,63300.0,110.0
15390.0,2017,Manuál,Benzín,163514.0,92.0
9990.0,2015,Automat,Diesel,225000.0,81.0
12290.0,2018,Manuál,Diesel,159000.0,85.0
15490.0,2019,Manuál,Benzín,146063.0,96.0
,2009,Automat,Benzín,213000.0,155.0
7000.0,2011,Automat,Diesel,266455.0,103.0
17000.0,2018,Automat,Diesel,95250.0,110.0
12990.0,2016,Automat,Benzín,216825.0,92.0
10990.0,2013,Automat,Diesel,269200.0,81.0
5300.0,2010,Manuál,Benzín,198000.0,59.0
9000.0,2014,Automat,Diesel,249000.0,81.0
356.0,2013,Manuál,Diesel,347289.0,110.0
2000.0,2002,Automat,Diesel,,96.0
2800.0,2005,Manuál,Benzín,170619.0,55.0
3300.0,2004,Manuál,Diesel,299000.0,77.0
3990.0,2004,Manuál,Benzín,154602.0,55.0
4099.0,2005,Automat,Diesel,255853.0,77.0
4500.0,2006,Manuál,Diesel,263450.0,77.0
4700.0,2010,Manuál,Diesel,227000.0,66.0
4999.0,2007,Manuál,Diesel,222000.0,77.0
4999.0,2007,Manuál,Benzín,199780.0,75.0
,2008,Manuál,Diesel,188000.0,103.0
6200.0,2009,Manuál,Benzín,129000.0,59.0
6300.0,2009,Manuál,Diesel,159500.0,77.0
6800.0,2012,Manuál,Diesel,238391.0,77.0
6900.0,2011,Automat,Diesel,197000.0,77.0
6990.0,2009,Automat,Benzín,142840.0,75.0
7000.0,2011,Manuál,Diesel,262000.0,103.0
7500.0,2011,Manuál,Diesel,111951.0,77.0
7500.0,2009,Automat,Benzín,98237.0,118.0
7750.0,2005,Automat,Benzín,257696.0,147.0
7900.0,2011,Automat,Benzín,131000.0,118.0
8200.0,2014,Manuál,Diesel,224000.0,81.0
8800.0,2013,Manuál,Benzín,175700.0,63.0
9499.0,2013,Automat,Diesel,233365.0,110.0
9800.0,2013,Manuál,Benzín,127625.0,63.0
9999.0,2013,Manuál,Benzín,114288.0,103.0
10400.0,2015,Manuál,Diesel,225000.0,81.0
10900.0,2015,Automat,Diesel,293000.0,135.0
11490.0,2014,Automat,Diesel,94797.0,77.0
11500.0,2016,Automat,Diesel,265000.0,135.0
11500.0,2016,Manuál,Benzín,84000.0,63.0
11999.0,2018,Manuál,Diesel,175760.0,85.0
12850.0,2015,Manuál,Diesel,187000.0,110.0
13200.0,2016,Manuál,Diesel,210000.0,110.0
13490.0,2015,Automat,Diesel,243000.0,135.0
13490.0,2006,Automat,Benzín,178700.0,184.0
13795.0,2016,Manuál,Diesel,190000.0,135.0
13990.0,2018,Manuál,Diesel,173000.0,85.0
13999.0,2019,Manuál,Diesel,149987.0,85.0
14390.0,2015,Manuál,Diesel,227000.0,110.0
14490.0,2011,Automat,Benzín,237802.0,199.0
14499.0,2017,Automat,Diesel,157319.0,110.0
14499.0,2017,Automat,Diesel,123900.0,85.0
,2018,Manuál,Diesel,94208.0,85.0
15390.0,2018,Automat,Diesel,123078.0,85.0
16550.0,2017,Automat,Diesel,136600.0,110.0
16999.0,2017,Automat,Diesel,161300.0,110.0
,2018,Manuál,Diesel,75099.0,85.0
17390.0,2017,Manuál,Diesel,132942.0,110.0
17490.0,2019,Automat,Benzín,174000.0,110.0
17499.0,2019,Manuál,Benzín,97793.0,96.0
17500.0,2019,Automat,Diesel,159000.0,110.0
17790.0,2018,Automat,Diesel,125500.0,135.0
17999.0,2019,Automat,Diesel,119000.0,110.0
,2019,Automat,Benzín,66561.0,110.0
,2021,Manuál,Benzín,32746.0,81.0
19500.0,2019,Automat,Diesel,149000.0,110.0
,2021,Manuál,Benzín,29917.0,96.0
,2018,Manuál,Diesel,107466.0,110.0
19999.0,2017,Manuál,Diesel,95000.0,110.0
23999.0,2017,Automat,Hybrid,39190.0,110.0
24900.0,2017,Manuál,Benzín,45246.0,169.0
,2020,Automat,Benzín,11600.0,110.0
450.0,1995,Manuál,Benzín,299000.0,55.0
550.0,1995,Manuál,Benzín,275000.0,66.0
600.0,2000,Manuál,Diesel,404411.0,85.0
690.0,1995,Manuál,Benzín,189133.0,55.0
999.0,2004,Manuál,Benzín,366666.0,55.0
1000.0,2001,Manuál,Benzín,325767.0,77.0
1095.0,2003,Manuál,Benzín,266927.0,55.0
1200.0,1999,Manuál,Benzín,207220.0,74.0
1298.0,1999,Manuál,Benzín,194526.0,55.0
1300.0,2005,Manuál,Benzín,229947.0,55.0
1300.0,1997,Manuál,Diesel,228000.0,81.0
1320.0,2000,Manuál,Benzín,232957.0,74.0
1360.0,1998,Manuál,Diesel,329000.0,81.0
1396.0,2001,Manuál,Diesel,343000.0,85.0
1500.0,1995,Manuál,Benzín,137440.0,55.0
1500.0,2000,Manuál,Diesel,273000.0,66.0
1500.0,1999,Automat,Benzín,253.0,74.0
1600.0,2004,Manuál,Benzín,220000.0,81.0
1623.0,2000,Manuál,Benzín,206917.0,74.0
1650.0,2002,Manuál,Benzín,198221.0,55.0
1690.0,2001,Manuál,Diesel,321800.0,50.0
1700.0,2001,Manuál,Diesel,231842.0,74.0
1700.0,1999,Manuál,Benzín,215880.0,74.0
1596.0,1996,Manuál,Benzín,293000.0,66.0
1599.0,1999,Manuál,Benzín,168502.0,55.0
1599.0,2001,Manuál,Benzín,165304.0,55.0
1800.0,2001,Manuál,Diesel,410000.0,74.0
1800.0,2000,Manuál,Diesel,290000.0,85.0
1800.0,1999,Manuál,Benzín,313618.0,74.0
1900.0,2006,Manuál,Diesel,295000.0,77.0
1906.0,2003,Manuál,Benzín,247325.0,77.0
1999.0,2002,Manuál,Benzín,194000.0,77.0
1999.0,1995,Manuál,Benzín,113419.0,55.0
2000.0,2004,Manuál,Diesel,346821.0,77.0
,1998,Manuál,Benzín,170000.0,110.0
1920.0,2006,Manuál,Diesel,336800.0,74.0
1960.0,2001,Manuál,Diesel,323000.0,74.0
1960.0,2000,Manuál,Benzín,141014.0,55.0
1996.0,1991,Manuál,Benzín,157600.0,40.0
2199.0,2002,Manuál,Benzín,253779.0,55.0
2200.0,1997,Manuál,Benzín,213600.0,74.0
2231.0,2005,Manuál,Benzín,149457.0,55.0
2290.0,2003,Manuál,Benzín,165237.0,55.0
2300.0,2004,Manuál,Benzín,250847.0,55.0
2300.0,2005,Manuál,Diesel,291908.0,66.0
2196.0,2001,Manuál,Diesel,253001.0,74.0
2196.0,2004,Manuál,Benzín,202900.0,85.0
,2000,Manuál,Benzín,203456.0,74.0
2348.0,2005,Manuál,Benzín,242426.0,85.0
2390.0,2002,Manuál,Diesel,345600.0,81.0
2390.0,2000,Manuál,Diesel,320000.0,85.0
2434.0,2005,Manuál,Diesel,238605.0,77.0
2311.0,2004,Manuál,Benzín,252100.0,85.0
,1993,Manuál,Benzín,238080.0,85.0
2490.0,2006,Manuál,Benzín,225039.0,55.0
2500.0,2006,Manuál,Benzín,222759.0,55.0
2500.0,2002,Manuál,Diesel,348000.0,81.0
2360.0,1998,Manuál,Diesel,271000.0,66.0
2360.0,2000,Manuál,Diesel,215440.0,81.0
2550.0,2004,Manuál,Diesel,380000.0,77.0
2396.0,2006,Manuál,Diesel,317000.0,77.0
,2018,Manuál,Benzín,50000.0,92.0
2396.0,2010,Manuál,Diesel,180000.0,77.0
2396.0,1998,Manuál,Benzín,235000.0,110.0
2600.0,2006,Manuál,Benzín,291340.0,55.0
2600.0,2006,Automat,Diesel,331642.0,103.0
2600.0,2008,Manuál,Diesel,377666.0,77.0
2600.0,2006,Automat,Diesel,331642.0,103.0
2650.0,2000,Manuál,Diesel,248200.0,66.0
2690.0,2003,Manuál,Diesel,283157.0,77.0
2700.0,2004,Manuál,Diesel,232000.0,77.0
2700.0,1998,Manuál,Benzín,250000.0,110.0
2700.0,2006,Manuál,Diesel,255700.0,66.0
2556.0,2000,Manuál,Diesel,207105.0,66.0
2599.0,2006,Manuál,Benzín+Plyn,282400.0,55.0
2600.0,1999,Manuál,Diesel,238464.0,66.0
2600.0,2003,Manuál,Benzín,144118.0,77.0
2790.0,1998,Manuál,Benzín,194800.0,74.0
2800.0,2004,Manuál,Benzín,203987.0,55.0
2800.0,2006,Manuál,Benzín,246433.0,55.0
2839.0,2003,Manuál,Diesel,222701.0,74.0
2850.0,2003,Manuál,Benzín,249000.0,77.0
,2006,Manuál,Benzín,139000.0,1.0
2899.0,2004,Manuál,Benzín,257200.0,55.0
2900.0,2002,Manuál,Diesel,60000.0,96.0
2720.0,2005,Manuál,Diesel,297000.0,74.0
2720.0,2003,Manuál,Benzín,172480.0,77.0
2760.0,2012,Manuál,Diesel,302000.0,77.0
2760.0,2004,Manuál,Diesel,188312.0,74.0
2760.0,2003,Manuál,Diesel,270000.0,50.0
2946.0,2004,Manuál,Benzín,127979.0,55.0
2960.0,2007,Manuál,Diesel,269000.0,77.0
2989.0,2006,Manuál,Benzín,204740.0,55.0
2999.0,2008,Manuál,Diesel,362286.0,77.0
2999.0,2004,Manuál,Benzín,231000.0,66.0
2999.0,2007,Manuál,Diesel,308376.0,66.0
3900.0,2005,Manuál,Diesel,285000.0,66.0
3900.0,2006,Automat,Diesel,261250.0,77.0
,2002,Manuál,Diesel,210000.0,110.0
3990.0,1996,Manuál,Benzín,227109.0,55.0
3990.0,2007,Manuál,Diesel,273990.0,66.0
3990.0,2004,Manuál,Benzín,132000.0,55.0
3990.0,2005,Manuál,Diesel,244414.0,66.0
3990.0,2006,Manuál,Benzín,268852.0,55.0
3999.0,2007,Manuál,Benzín,274077.0,90.0
3999.0,2004,Manuál,Diesel,177500.0,66.0
4000.0,2008,Manuál,Diesel,243680.0,77.0
4000.0,2004,Manuál,Benzín,140434.0,75.0
4000.0,2004,Automat,Diesel,208000.0,103.0
4000.0,2001,Manuál,Diesel,159600.0,74.0
3800.0,2006,Manuál,Diesel,264000.0,77.0
4056.0,2008,Manuál,Benzín,131987.0,59.0
4056.0,2007,Manuál,Benzín,111233.0,59.0
4100.0,2007,Manuál,Benzín,157000.0,75.0
,2007,Manuál,Benzín,199896.0,75.0
,2007,Manuál,Benzín+Plyn,238000.0,75.0
4199.0,2005,Manuál,Benzín,151000.0,75.0
4200.0,2010,Manuál,Benzín,187600.0,77.0
4200.0,2008,Manuál,Diesel,180089.0,77.0
4200.0,2007,Automat,Diesel,437100.0,77.0
3960.0,2005,Manuál,Diesel,199870.0,77.0
3996.0,2005,Manuál,Benzín,189539.0,110.0
3996.0,2007,Manuál,Diesel,235000.0,77.0
3999.0,2004,Manuál,Benzín,166175.0,66.0
4269.0,2005,Manuál,Diesel,104357.0,77.0
4269.0,2007,Manuál,Diesel,186459.0,77.0
4290.0,2007,Manuál,Benzín+Plyn,215000.0,75.0
4300.0,2008,Manuál,Diesel,355000.0,77.0
4300.0,2005,Manuál,Benzín,145754.0,75.0
4300.0,2008,Manuál,Benzín,200973.0,59.0
4300.0,2009,Manuál,Diesel,292517.0,77.0
4300.0,2006,Automat,Benzín,149341.0,85.0
,2009,Manuál,Diesel,152710.0,103.0
4390.0,2006,Manuál,Diesel,190929.0,103.0
4390.0,2006,Manuál,Diesel,188247.0,125.0
4390.0,2009,Manuál,Diesel,236180.0,66.0
4120.0,2007,Manuál,Diesel,173700.0,103.0
4400.0,2011,Manuál,Benzín,267500.0,90.0
4400.0,2005,Manuál,Benzín,154700.0,55.0
4440.0,2007,Manuál,Benzín,163005.0,59.0
4483.0,2006,Manuál,Benzín,107189.0,55.0
4483.0,2007,Manuál,Benzín,148012.0,59.0
4490.0,2008,Automat,Diesel,254000.0,77.0
4490.0,2003,Manuál,Benzín,271749.0,110.0
4490.0,2000,Automat,Benzín,207446.0,85.0
4499.0,2009,Manuál,Diesel,281608.0,66.0
4500.0,1997,Manuál,Diesel,218747.0,66.0
4500.0,2004,Manuál,Diesel,209000.0,103.0
4500.0,2002,Automat,Benzín,114000.0,75.0
4583.0,2007,Manuál,Benzín,144403.0,75.0
4590.0,2004,Manuál,Benzín,164000.0,55.0
4600.0,2006,Manuál,Benzín,174900.0,55.0
4650.0,2008,Manuál,Diesel,240100.0,77.0
4360.0,2010,Manuál,Benzín,201340.0,77.0
4654.0,2007,Manuál,Benzín,182086.0,75.0
4690.0,2004,Manuál,Diesel,238376.0,103.0
4396.0,2007,Manuál,Benzín,232748.0,75.0
4396.0,2006,Manuál,Diesel,198454.0,77.0
4396.0,2006,Manuál,Diesel,237200.0,77.0
4399.0,2007,Manuál,Diesel,264520.0,77.0
4696.0,2006,Manuál,Benzín,157603.0,75.0
4696.0,2006,Manuál,Benzín,149727.0,55.0
4700.0,2007,Manuál,Diesel,224166.0,77.0
4700.0,2008,Manuál,Benzín,180610.0,59.0
4700.0,2005,Manuál,Diesel,236770.0,77.0
4700.0,2009,Manuál,Benzín,197410.0,90.0
4700.0,2008,Manuál,Diesel,193000.0,66.0
,2009,Manuál,Benzín,172083.0,90.0
4790.0,2005,Manuál,Benzín,134210.0,55.0
4800.0,2010,Manuál,Diesel,288000.0,77.0
