price,year,trans,fuel,km,kw
19990.0,2019,Automat,Diesel,140900.0,140.0
22990.0,2018,Automat,Diesel,166282.0,110.0
14690.0,2015,Automat,Diesel,193000.0,140.0
8490.0,2011,Automat,Diesel,247000.0,103.0
8800.0,2011,Manuál,Diesel,339224.0,103.0
5450.0,2002,Manuál,Diesel,259000.0,96.0
6650.0,2007,Manuál,Diesel,153000.0,77.0
5750.0,2000,Manuál,Diesel,271000.0,96.0
,2015,Automat,Diesel,75000.0,88.0
,2018,Automat,Diesel,63400.0,110.0
5900.0,2006,Automat,Benzín,271000.0,184.0
12450.0,2015,Automat,Diesel,241000.0,110.0
20999.0,2015,Automat,Diesel,187683.0,176.0
32500.0,2021,Automat,Hybrid,44700.0,115.0
11990.0,2013,Automat,Diesel,250000.0,130.0
,2018,Automat,Diesel,116032.0,140.0
19750.0,2018,Automat,Diesel,150000.0,110.0
14990.0,2016,Automat,Diesel,173123.0,110.0
,2018,Automat,Diesel,127163.0,110.0
,2018,Automat,Benzín,106000.0,206.0
23799.0,2018,Manuál,Benzín,33029.0,110.0
,2020,Automat,Diesel,62605.0,140.0
18999.0,2018,Automat,Diesel,106100.0,140.0
,2018,Automat,Benzín,89000.0,132.0
35500.0,2020,Automat,Hybrid,44105.0,115.0
2199.0,2009,Automat,Diesel,454000.0,103.0
2500.0,2002,Manuál,Diesel,246000.0,96.0
3490.0,2008,Manuál,Diesel,422500.0,103.0
4400.0,2008,Manuál,Diesel,360000.0,77.0
4499.0,2008,Manuál,Benzín,199338.0,110.0
4800.0,2009,Automat,Diesel,265000.0,103.0
7199.0,2009,Automat,Benzín,176589.0,118.0
7699.0,2013,Manuál,Diesel,270513.0,103.0
7990.0,2011,Manuál,Diesel,239366.0,103.0
8490.0,2014,Automat,Diesel,284000.0,103.0
8890.0,2014,Automat,Diesel,245000.0,103.0
8999.0,2013,Manuál,Diesel,180934.0,103.0
10000.0,2009,Automat,Benzín,191600.0,147.0
10700.0,2014,Automat,Diesel,264601.0,103.0
10850.0,2012,Automat,Diesel,181350.0,103.0
10999.0,2016,Manuál,Diesel,189865.0,110.0
10999.0,2019,Automat,Diesel,126996.0,110.0
11350.0,2012,Manuál,Diesel,204569.0,103.0
11500.0,2011,Manuál,Diesel,151770.0,103.0
11700.0,2013,Automat,Diesel,231000.0,130.0
11900.0,2015,Automat,Diesel,240000.0,88.0
13250.0,2015,Manuál,Diesel,180000.0,110.0
13499.0,2015,Automat,Diesel,127734.0,88.0
14988.0,2018,Automat,Diesel,184000.0,110.0
14999.0,2016,Automat,Diesel,159601.0,110.0
15200.0,2016,Automat,Diesel,190000.0,110.0
15499.0,2019,Automat,Diesel,221770.0,110.0
15990.0,2019,Automat,Diesel,170000.0,110.0
16300.0,2017,Automat,Diesel,182000.0,110.0
,2015,Automat,Diesel,196000.0,110.0
16990.0,2019,Manuál,Diesel,186000.0,110.0
,2016,Automat,Diesel,103745.0,110.0
17199.0,2018,Manuál,Diesel,137418.0,110.0
17490.0,2018,Automat,Diesel,185533.0,140.0
18800.0,2016,Automat,Diesel,164500.0,140.0
,2017,Automat,Diesel,111645.0,110.0
,2018,Automat,Benzín,58104.0,110.0
,2016,Manuál,Diesel,60872.0,140.0
19499.0,2018,Automat,Diesel,165398.0,140.0
19499.0,2018,Automat,Diesel,136753.0,88.0
19500.0,2019,Automat,Diesel,160000.0,110.0
20990.0,2018,Automat,Diesel,159843.0,110.0
,2017,Automat,Diesel,159000.0,140.0
22999.0,2020,Automat,Diesel,117265.0,140.0
22999.0,2016,Automat,Diesel,107660.0,140.0
23499.0,2020,Automat,Diesel,192000.0,140.0
23500.0,2018,Automat,Diesel,184000.0,140.0
,2019,Automat,Diesel,109675.0,110.0
,2016,Automat,Diesel,135000.0,176.0
,2018,Automat,Diesel,113545.0,140.0
25500.0,2019,Manuál,Diesel,68000.0,110.0
,2020,Automat,Diesel,149800.0,140.0
,2019,Automat,Diesel,89100.0,140.0
27990.0,2019,Automat,Diesel,124703.0,140.0
,2020,Automat,Benzín,68538.0,140.0
,2019,Automat,Diesel,46950.0,140.0
,2021,Automat,Diesel,27200.0,110.0
36990.0,2021,Automat,Diesel,15800.0,147.0
,2019,Automat,Diesel,46000.0,176.0
220.0,2006,Manuál,Diesel,192000.0,103.0
500.0,2002,Manuál,Diesel,300000.0,125.0
790.0,2001,Manuál,Diesel,630000.0,96.0
999.0,2000,Manuál,Diesel,303944.0,85.0
1000.0,1997,Manuál,Diesel,373218.0,81.0
1200.0,2005,Manuál,Diesel,244315.0,74.0
1160.0,2003,Manuál,Diesel,331000.0,96.0
1298.0,2003,Manuál,Benzín,192882.0,75.0
1300.0,2003,Manuál,Diesel,423000.0,96.0
1495.0,2006,Manuál,Benzín,220805.0,75.0
1550.0,2005,Manuál,Diesel,230000.0,74.0
1600.0,2002,Manuál,Diesel,508389.0,74.0
1684.0,2002,Manuál,Diesel,401100.0,74.0
1684.0,2005,Manuál,Diesel,364700.0,96.0
1704.0,2004,Manuál,Diesel,298442.0,74.0
1850.0,2004,Automat,Diesel,243000.0,120.0
1900.0,2010,Automat,Benzín+Plyn,380000.0,110.0
1950.0,2001,Manuál,Diesel,395800.0,96.0
,1997,Manuál,Benzín,250001.0,92.0
1990.0,2005,Manuál,Diesel,268355.0,77.0
1999.0,2005,Manuál,Diesel,240270.0,103.0
2000.0,2002,Manuál,Diesel,374000.0,96.0
2000.0,2002,Manuál,Diesel,339930.0,96.0
2028.0,2007,Manuál,Diesel,242391.0,77.0
2050.0,2007,Manuál,Diesel,305000.0,77.0
1960.0,2002,Manuál,Diesel,325900.0,96.0
2100.0,2001,Manuál,Diesel,405000.0,74.0
,2004,Manuál,Diesel,381000.0,96.0
1996.0,2002,Manuál,Diesel,331560.0,96.0
1996.0,2001,Manuál,Diesel,244000.0,74.0
2200.0,2006,Manuál,Diesel,440000.0,103.0
2200.0,2003,Manuál,Diesel,387000.0,96.0
2231.0,2007,Manuál,Diesel,334888.0,103.0
2120.0,1999,Manuál,Benzín,175000.0,74.0
2300.0,2005,Manuál,Diesel,300000.0,77.0
2300.0,2004,Manuál,Benzín,291933.0,96.0
2306.0,2003,Manuál,Benzín,232282.0,96.0
,1999,Manuál,Benzín,170494.0,74.0
2350.0,2000,Manuál,Diesel,491224.0,96.0
2400.0,2001,Manuál,Diesel,254000.0,96.0
2400.0,2012,Automat,Diesel,280000.0,103.0
2434.0,2006,Manuál,Diesel,336703.0,103.0
2499.0,2005,Automat,Diesel,348530.0,103.0
2500.0,2005,Manuál,Diesel,357366.0,77.0
,2003,Manuál,Diesel,286000.0,110.0
2360.0,2006,Manuál,Benzín,220000.0,110.0
2562.0,2002,Automat,Benzín,286218.0,110.0
2600.0,2003,Manuál,Diesel,238289.0,96.0
2600.0,2009,Manuál,Diesel,399932.0,103.0
2440.0,2006,Manuál,Diesel,297000.0,103.0
2690.0,2005,Manuál,Diesel,289256.0,103.0
2700.0,2005,Manuál,Diesel,300000.0,96.0
2700.0,2002,Manuál,Benzín,270000.0,110.0
2733.0,2002,Manuál,Benzín,271890.0,85.0
2800.0,2007,Manuál,Diesel,258000.0,77.0
2800.0,2005,Manuál,Diesel,264547.0,96.0
2800.0,2006,Manuál,Diesel,302000.0,103.0
2850.0,2003,Manuál,Benzín+Plyn,271836.0,142.0
