price,year,trans,fuel,km,kw

,2018,Manuál,Benzín,47900,44

,2009,Manuál,Diesel,194000,77

,2022,Manuál,Benzín,25500,70

,2018,Manuál,Benzín,29380,81

,2009,Manuál,Benzín,106260,51

,2019,Manuál,Benzín,45590,81

,2016,Manuál,Diesel,254025,66

,2019,Manuál,Benzín,30000,81

,2007,Manuál,Benzín,130407,47

,2004,Manuál,Benzín,63799,47

,2005,Manuál,Benzín,160005,40

,2009,Manuál,Diesel,188120,59

,2009,Manuál,Benzín,154919,44

,2008,Manuál,Diesel,236059,77

,2010,Manuál,Diesel,106185,55

,2011,Manuál,Diesel,139232,55

,2012,Manuál,Diesel,209885,55

,2011,Manuál,Benzín,266242,77

,2011,Manuál,Benzín,125777,44

,2012,Manuál,Benzín,107000,51

,2013,Manuál,Benzín,144722,63

,2012,Manuál,Diesel,181293,66

,2011,Manuál,Benzín,165912,77

,2010,Manuál,Benzín,129656,63

,2011,Manuál,Diesel,146836,66

,2015,Manuál,Diesel,172000,66

,2013,Manuál,Diesel,165918,66

,2019,Manuál,Benzín+Plyn,232000,55

,2012,Automat,Benzín,185735,132

,2017,Manuál,Diesel,182029,66

,2016,Manuál,Benzín,124487,81

,2015,Manuál,Benzín,85867,66

,2015,Manuál,Benzín,11784,44

,2018,Manuál,Benzín,143600,70

,2019,Manuál,Benzín,111860,55

,2018,Manuál,Benzín,33000,66

,2017,Manuál,Benzín,128698,81

,2019,Manuál,Benzín,169000,81

,2019,Manuál,Benzín,134512,81

,2016,Manuál,Benzín,72000,81

,2021,Manuál,Benzín,13370,70

,2020,Automat,Benzín,59350,70

,2022,Manuál,Benzín,5,59

,2023,Manuál,Benzín,5,81

,2022,Manuál,Benzín,150,81

,2022,Automat,Benzín,1000,81

,2009,Manuál,Benzín,130000,51

,2004,Manuál,Benzín,288000,47

,2002,Manuál,Benzín,148253,44

,2016,Manuál,Benzín,105000,81

,2003,Manuál,Benzín,121775,55

,2005,Manuál,Benzín,388202,47

,2005,Manuál,Benzín,209268,47

,2003,Manuál,Benzín,271373,40

,2008,Manuál,Benzín,130000,51

,2000,Manuál,Benzín,235000,44

,2006,Manuál,Benzín,148912,40

,2002,Manuál,Benzín,133062,40

,2004,Manuál,Diesel,334135,55

,2008,Manuál,Diesel,294502,47

,2001,Manuál,Benzín,427502,50

,2006,Manuál,Benzín,288870,59

,2006,Manuál,Benzín,200020,47

,2009,Manuál,Diesel,470000,59

,2004,Manuál,Diesel,210344,47

,2004,Manuál,Benzín,288407,47

,2005,Manuál,Benzín,259746,40

,2004,Manuál,Benzín,219953,40

,2003,Manuál,Benzín,257001,47

,2004,Manuál,Benzín,226825,47

,2005,Manuál,Benzín,290132,40

,2002,Manuál,Benzín,168190,44

,2003,Manuál,Benzín,142535,47

,2005,Manuál,Diesel,302205,55

,2002,Manuál,Benzín,227415,40

,2003,Manuál,Benzín,247611,74

,2003,Manuál,Benzín,76277,47

,2002,Manuál,Benzín,209068,40

,2001,Manuál,Benzín,172077,44

,2006,Manuál,Benzín,226128,59

,2001,Manuál,Benzín,239755,44

,2008,Manuál,Benzín,182244,47

,2001,Manuál,Diesel,362000,74

,2007,Manuál,Benzín,295362,47

,2006,Manuál,Benzín,158904,40

,2001,Manuál,Benzín,276695,44

,2004,Manuál,Benzín,178039,55

,2004,Manuál,Benzín,296000,47

,2000,Manuál,Benzín,163000,50

,2002,Manuál,Benzín,192860,44

,2001,Manuál,Diesel,123000,74

,2002,Manuál,Benzín,121939,74

,2001,Manuál,Benzín,199500,55

,2001,Manuál,Benzín,212000,55

,2002,Manuál,Benzín,198480,39

,2002,Manuál,Benzín,230780,44

,2004,Manuál,Benzín,169685,47

,2006,Manuál,Benzín,293587,47

,2002,Manuál,Benzín,224000,44

,2005,Manuál,Benzín,175991,40

,2000,Manuál,Benzín,244495,50

,2005,Manuál,Benzín,243737,47

,2002,Manuál,Diesel,306861,74

,2006,Manuál,Benzín,230283,47

,2006,Manuál,Benzín,197745,40

,2006,Manuál,Benzín,246000,40

,2002,Manuál,Benzín,287000,40

,2002,Manuál,Benzín,156000,50

,2001,Manuál,Benzín,111210,44

,2006,Manuál,Benzín,259864,59

,2005,Manuál,Benzín,200204,47

,2003,Manuál,Benzín,108038,47

,2005,Manuál,Benzín,107000,47

,2006,Manuál,Benzín,243652,47

,2001,Manuál,Benzín,219000,55

,2004,Manuál,Benzín,164541,40

,2006,Manuál,Benzín,166078,47

,2006,Manuál,Benzín,300229,59

,2004,Manuál,Benzín,119000,40

,2004,Manuál,Benzín,246226,47

,2003,Manuál,Diesel,450000,47

,2003,Manuál,Benzín,123990,40

,2004,Manuál,Benzín,192000,40

,2005,Manuál,Benzín,146084,47

,2004,Manuál,Benzín,188312,47

,2009,Manuál,Benzín,224044,51

,2003,Manuál,Benzín,208131,40

,2001,Manuál,Benzín,185557,50

,2001,Manuál,Benzín,222228,74

,2007,Manuál,Diesel,283400,59

,2001,Manuál,Benzín,176759,50

,2003,Manuál,Diesel,356816,47

,2006,Manuál,Benzín,240793,59

,2006,Manuál,Benzín,273119,59

,2003,Manuál,Benzín,182985,40

,2001,Manuál,Benzín,218400,50

,2005,Manuál,Benzín,182436,40

,2006,Manuál,Benzín,211018,47

,2006,Manuál,Benzín,99000,47

,2003,Manuál,Benzín,173001,74

,2002,Manuál,Diesel,227001,47

,2004,Manuál,Benzín,180888,40

,2007,Manuál,Benzín,171311,40

,2005,Manuál,Benzín,207966,47

,2001,Manuál,Benzín,111831,50

,2006,Manuál,Benzín,123045,47

,2000,Manuál,Benzín,78500,50

,2002,Manuál,Benzín,241214,44

,2000,Manuál,Benzín,137650,50

,2006,Manuál,Benzín,226000,47

,2001,Manuál,Benzín,182000,55

,2000,Manuál,Diesel,325000,47

,2005,Manuál,Diesel,230000,74

,2002,Manuál,Benzín,219003,55

,2004,Manuál,Benzín,143000,40

,2000,Manuál,Benzín,184300,50

,2007,Manuál,Benzín,284000,40

,2006,Manuál,Benzín,263400,47

,2005,Manuál,Diesel,356314,74

,2007,Manuál,Benzín,309104,47

,2002,Manuál,Benzín,224668,55

,2004,Manuál,Benzín,157008,47

,2003,Manuál,Benzín,215983,47

,2002,Manuál,Benzín,210000,50

,2007,Manuál,Benzín,218677,47

,2003,Manuál,Benzín,162593,47

,2003,Manuál,Benzín,169806,47

