price,year,trans,fuel,km,kw
,2018,Manuál,Benzín,47900,44
,2022,Manuál,Benzín,25500,70
,2019,Manuál,Benzín,30000,81
,2004,Manuál,Benzín,63799,47
,2005,Manuál,Benzín,160005,40
,2011,Manuál,Diesel,139232,55
,2011,Manuál,Benzín,125777,44
,2013,Manuál,Benzín,144722,63
,2012,Manuál,Diesel,181293,66
,2011,Manuál,Diesel,146836,66
,2015,Manuál,Diesel,172000,66
,2016,Manuál,Benzín,124487,81
,2015,Manuál,Benzín,11784,44
,2018,Manuál,Benzín,33000,66
,2022,Manuál,Benzín,5,59
,2023,Manuál,Benzín,5,81
,2022,Manuál,Benzín,150,81
,2022,Automat,Benzín,1000,81
,2002,Manuál,Benzín,148253,44
,2003,Manuál,Benzín,121775,55
,2005,Manuál,Benzín,209268,47
,2003,Manuál,Benzín,271373,40
,2000,Manuál,Benzín,235000,44
,2006,Manuál,Benzín,148912,40
,2002,Manuál,Benzín,133062,40
,2001,Manuál,Benzín,427502,50
,2006,Manuál,Benzín,200020,47
,2004,Manuál,Diesel,210344,47
,2005,Manuál,Benzín,259746,40
,2004,Manuál,Benzín,219953,40
,2002,Manuál,Benzín,168190,44
,2005,Manuál,Benzín,290132,40
,2005,Manuál,Diesel,302205,55
,2003,Manuál,Benzín,247611,74
,2002,Manuál,Benzín,227415,40
,2003,Manuál,Benzín,76277,47
,2002,Manuál,Benzín,209068,40
,2001,Manuál,Benzín,172077,44
,2001,Manuál,Benzín,239755,44
,2008,Manuál,Benzín,182244,47
,2006,Manuál,Benzín,158904,40
,2001,Manuál,Benzín,276695,44
,2004,Manuál,Benzín,178039,55
,2000,Manuál,Benzín,163000,50
,2002,Manuál,Benzín,192860,44
,2001,Manuál,Diesel,123000,74
,2002,Manuál,Benzín,121939,74
,2001,Manuál,Benzín,212000,55
,2002,Manuál,Benzín,198480,39
,2002,Manuál,Benzín,230780,44
,2004,Manuál,Benzín,169685,47
,2006,Manuál,Benzín,293587,47
,2002,Manuál,Benzín,224000,44
,2005,Manuál,Benzín,175991,40
,2000,Manuál,Benzín,244495,50
,2006,Manuál,Benzín,230283,47
,2006,Manuál,Benzín,197745,40
,2006,Manuál,Benzín,246000,40
,2002,Manuál,Benzín,287000,40
,2001,Manuál,Benzín,111210,44
,2003,Manuál,Benzín,108038,47
,2001,Manuál,Benzín,219000,55
,2004,Manuál,Benzín,164541,40
,2004,Manuál,Benzín,119000,40
,2003,Manuál,Diesel,450000,47
,2003,Manuál,Benzín,123990,40
,2004,Manuál,Benzín,192000,40
,2005,Manuál,Benzín,146084,47
,2004,Manuál,Benzín,188312,47
,2009,Manuál,Benzín,224044,51
,2003,Manuál,Benzín,208131,40
,2001,Manuál,Benzín,185557,50
,2001,Manuál,Benzín,222228,74
,2001,Manuál,Benzín,176759,50
,2003,Manuál,Diesel,356816,47
,2003,Manuál,Benzín,182985,40
,2005,Manuál,Benzín,182436,40
,2002,Manuál,Diesel,227001,47
,2004,Manuál,Benzín,180888,40
,2007,Manuál,Benzín,171311,40
,2005,Manuál,Benzín,207966,47
,2001,Manuál,Benzín,111831,50
,2000,Manuál,Benzín,78500,50
,2002,Manuál,Benzín,241214,44
,2000,Manuál,Benzín,137650,50
,2001,Manuál,Benzín,182000,55
,2000,Manuál,Diesel,325000,47
,2002,Manuál,Benzín,219003,55
,2004,Manuál,Benzín,143000,40
,2000,Manuál,Benzín,184300,50
,2007,Manuál,Benzín,284000,40
,2004,Manuál,Benzín,157008,47
,2003,Manuál,Benzín,215983,47
,2003,Manuál,Benzín,162593,47
,2004,Manuál,Benzín,171150,40
,2007,Manuál,Benzín+Plyn,330708,44
,2004,Manuál,Benzín,191050,47
,2008,Manuál,Diesel,289998,51
,2004,Manuál,Benzín,110630,47
,2006,Manuál,Benzín,240400,47
,2008,Manuál,Benzín,136144,44
,2002,Manuál,Benzín,239787,50
,2000,Manuál,Benzín,184625,44
,2008,Manuál,Benzín,227997,44
,2006,Manuál,Benzín,185083,40
,2006,Manuál,Benzín,103400,40
,2000,Manuál,Benzín,237192,50
,2006,Manuál,Benzín,157300,47
,2006,Manuál,Benzín,221502,47
,2001,Manuál,Benzín,59801,44
,2002,Manuál,Benzín,190493,44
,2003,Manuál,Benzín,161422,44
,2004,Manuál,Benzín,130500,40
,2003,Manuál,Benzín,173235,40
,2005,Manuál,Diesel,264000,51
,2006,Manuál,Benzín,192934,47
,2003,Manuál,Benzín,101952,40
,2003,Manuál,Benzín,143499,40
,2004,Manuál,Benzín,215074,40
,2003,Manuál,Benzín,186865,47
,2003,Manuál,Benzín,186865,47
,2004,Manuál,Benzín,163064,40
,2001,Manuál,Diesel,227671,74
,2007,Manuál,Benzín,217531,47
,2003,Manuál,Benzín,153045,55
,2006,Manuál,Benzín,82815,47
,2005,Manuál,Benzín,74862,47
,2008,Manuál,Benzín,220725,44
,2007,Manuál,Benzín,104106,51
,2004,Manuál,Diesel,303095,74
,2001,Manuál,Benzín,104244,44
,2000,Manuál,Diesel,206220,47
,2004,Manuál,Benzín,102639,47
,2003,Manuál,Benzín,170410,55
,2003,Manuál,Benzín,126483,47
,2006,Manuál,Benzín,223674,55
,2005,Manuál,Benzín,250670,40
,2008,Manuál,Benzín,253362,44
,2007,Manuál,Benzín,177166,47
,2000,Manuál,Benzín,260164,44
,2000,Manuál,Benzín,260164,44
,2005,Manuál,Benzín,148000,40
,2005,Manuál,Benzín,231000,47
,2005,Manuál,Benzín,136118,40
,2007,Manuál,Benzín,118674,40
,2004,Manuál,Benzín,43038,40
,2004,Manuál,Benzín,260417,40
,2006,Manuál,Benzín,151944,47
,2005,Manuál,Benzín,218335,74
,2009,Manuál,Benzín,233937,44
,2005,Manuál,Benzín,189000,47
,2009,Manuál,Benzín,164942,51
,2008,Manuál,Benzín,166400,51
,2007,Manuál,Benzín,70564,47
,2003,Manuál,Benzín,176200,55
,2007,Manuál,Benzín,195453,44
,2007,Manuál,Benzín,189384,44
,2004,Manuál,Benzín,129821,40
,2009,Manuál,Benzín,192295,44
,2004,Manuál,Benzín,134159,47
,2007,Manuál,Benzín,265066,51
