price,year,trans,fuel,km,kw
7350.0,2014,Automat,Diesel,356000,77.0
13500.0,2015,Manuál,Benzín,123500,63.0
,2019,Automat,Diesel,115570,110.0
12990.0,2017,Manuál,Benzín,152764,110.0
5990.0,2011,Automat,Diesel,215000,77.0
14900.0,2019,Automat,Diesel,158566,85.0
14900.0,2014,Manuál,Benzín,170234,162.0
17490.0,2016,Automat,Benzín,217700,162.0
,2017,Automat,Benzín,160000,110.0
,2018,Automat,Benzín,94500,132.0
,2018,Automat,Benzín,82569,169.0
999.0,2000,Manuál,Diesel,507544,66.0
3500.0,2007,Manuál,Benzín,164226,75.0
4400.0,2006,Manuál,Benzín+Plyn,190563,75.0
4700.0,2008,Manuál,Diesel,331277,77.0
4999.0,2015,Manuál,Benzín,137680,132.0
4999.0,2009,Manuál,Benzín,213371,118.0
6500.0,2009,Manuál,Benzín,142000,147.0
7100.0,2010,Manuál,Diesel,152000,77.0
7190.0,2013,Manuál,Diesel,119834,77.0
8500.0,2013,Manuál,Benzín,97268,118.0
9990.0,2015,Manuál,Diesel,169217,77.0
11750.0,2018,Manuál,Diesel,140111,85.0
13500.0,2015,Manuál,Benzín,123500,63.0
13500.0,2016,Manuál,Diesel,139000,81.0
13550.0,2015,Manuál,Benzín,199000,162.0
13700.0,2016,Manuál,Diesel,59000,81.0
13999.0,2017,Manuál,Diesel,104851,85.0
,2019,Manuál,Diesel,76368,85.0
,2016,Manuál,Diesel,124250,110.0
15600.0,2018,Manuál,Diesel,71000,85.0
,2019,Automat,Diesel,160900,85.0
,2020,Manuál,Diesel,31000,85.0
16500.0,2017,Manuál,Benzín,101500,110.0
17500.0,2017,Automat,Diesel,90000,110.0
,2019,Manuál,Benzín,43990,110.0
18500.0,2017,Automat,Diesel,180000,135.0
18700.0,2018,Automat,Diesel,105000,110.0
,2018,Manuál,Benzín,58694,110.0
,2021,Automat,Diesel,73255,85.0
,2018,Automat,Benzín,87500,140.0
,2020,Manuál,Benzín,25367,110.0
27500.0,2018,Automat,Benzín,37400,180.0
,2022,Automat,Diesel,8361,110.0
,2021,Automat,Diesel,35947,147.0
100.0,2000,Manuál,Benzín,1,96.0
556.0,1998,Manuál,Benzín,182001,55.0
600.0,1999,Manuál,Benzín,170596,55.0
700.0,2001,Manuál,Diesel,292187,66.0
700.0,1999,Manuál,Benzín,185415,74.0
800.0,2001,Manuál,Benzín,218495,55.0
800.0,1999,Manuál,Benzín,295254,55.0
800.0,1999,Automat,Benzín,314001,85.0
890.0,2000,Manuál,Benzín,192127,55.0
950.0,1999,Manuál,Benzín,367690,74.0
920.0,1997,Manuál,Benzín,153000,74.0
1000.0,2016,Manuál,Diesel,190000,81.0
1100.0,1997,Manuál,Diesel,264000,66.0
1040.0,1997,Manuál,Diesel,427000,66.0
1200.0,1998,Manuál,Benzín,242217,92.0
1160.0,2001,Manuál,Benzín,274000,75.0
1199.0,2000,Manuál,Benzín,264600,74.0
1300.0,2001,Manuál,Benzín,277440,75.0
1390.0,1998,Manuál,Diesel,328639,81.0
1400.0,2001,Manuál,Benzín,269000,75.0
1500.0,2009,Manuál,Diesel,250123,77.0
1500.0,2001,Manuál,Benzín,269257,75.0
1501.0,2000,Manuál,Benzín,244628,110.0
1501.0,2004,Manuál,Diesel,282603,66.0
1650.0,2002,Manuál,Diesel,387648,50.0
1680.0,2007,Manuál,Diesel,307339,77.0
1800.0,2005,Manuál,Benzín,110000,110.0
1800.0,2000,Manuál,Benzín,91000,55.0
1900.0,2002,Manuál,Diesel,292400,81.0
1906.0,2006,Manuál,Benzín,221770,75.0
1922.0,2004,Manuál,Diesel,296409,66.0
1950.0,2002,Manuál,Benzín,212112,75.0
1985.0,2002,Manuál,Diesel,395000,66.0
1990.0,2006,Manuál,Diesel,267000,74.0
1990.0,1999,Manuál,Benzín,327777,74.0
2028.0,2000,Manuál,Benzín,223312,74.0
2028.0,2005,Manuál,Diesel,288331,77.0
2090.0,2002,Manuál,Benzín,143789,55.0
2092.0,2005,Manuál,Benzín,173944,75.0
2100.0,2008,Manuál,Diesel,441248,74.0
2100.0,2007,Manuál,Diesel,314000,74.0
1996.0,2003,Manuál,Diesel,266070,81.0
1996.0,2002,Manuál,Diesel,424000,66.0
1996.0,2014,Manuál,Benzín,179000,103.0
2200.0,2002,Manuál,Benzín,198093,75.0
2231.0,2011,Manuál,Diesel,417912,77.0
2120.0,2005,Manuál,Benzín,136313,75.0
2299.0,2007,Manuál,Benzín+Plyn,432000,75.0
2348.0,2007,Manuál,Benzín,288067,75.0
2400.0,2004,Manuál,Benzín,206000,75.0
2400.0,2006,Manuál,Benzín,289464,75.0
2400.0,2007,Manuál,Diesel,320103,74.0
2400.0,2004,Manuál,Benzín,137166,75.0
2500.0,2000,Manuál,Diesel,209426,81.0
2500.0,2004,Manuál,Benzín,289220,75.0
2500.0,2003,Manuál,Diesel,324000,96.0
2500.0,2001,Manuál,Benzín,187645,55.0
2500.0,2004,Manuál,Benzín,239500,75.0
2500.0,2007,Manuál,Benzín,410000,75.0
2500.0,2005,Manuál,Diesel,234910,77.0
2500.0,2006,Manuál,Benzín,243000,75.0
2600.0,2006,Manuál,Benzín,227302,75.0
2600.0,2005,Manuál,Diesel,402359,77.0
2636.0,2010,Manuál,Diesel,296554,77.0
2636.0,2010,Manuál,Diesel,319020,77.0
2520.0,2005,Automat,Diesel,304000,77.0
2700.0,2005,Manuál,Diesel,340,1.0
2750.0,2004,Manuál,Diesel,281000,77.0
2750.0,2002,Manuál,Diesel,257000,81.0
2775.0,2006,Manuál,Diesel,308757,103.0
2790.0,2006,Manuál,Diesel,250802,77.0
2799.0,2005,Manuál,Benzín,331857,75.0
2800.0,2005,Manuál,Benzín+Plyn,280000,75.0
2800.0,2007,Manuál,Diesel,294761,77.0
2839.0,2008,Manuál,Diesel,252992,77.0
2900.0,2005,Manuál,Diesel,287000,77.0
2900.0,2004,Manuál,Diesel,326000,77.0
2900.0,2005,Manuál,Benzín,240253,55.0
2903.0,2007,Manuál,Benzín,278536,75.0
2950.0,2007,Manuál,Diesel,240000,77.0
2990.0,2005,Manuál,Benzín,254000,75.0
2990.0,2004,Manuál,Diesel,292000,103.0
2990.0,2006,Manuál,Benzín+Plyn,330000,75.0
2999.0,2005,Manuál,Benzín,164722,55.0
3000.0,2007,Manuál,Diesel,309899,103.0
3000.0,2010,Manuál,Benzín,256057,75.0
3100.0,2008,Manuál,Diesel,164497,74.0
3117.0,2008,Manuál,Benzín,285687,75.0
3160.0,2009,Manuál,Benzín,115962,75.0
2996.0,2004,Manuál,Benzín,214000,75.0
3200.0,2005,Manuál,Benzín,280072,75.0
3200.0,2005,Manuál,Benzín,160245,75.0
3200.0,2010,Manuál,Benzín,242219,75.0
3200.0,2003,Manuál,Benzín,149487,75.0
3200.0,2009,Manuál,Benzín,206578,55.0
3000.0,2008,Manuál,Diesel,300400,74.0
3000.0,2002,Manuál,Diesel,243388,81.0
3000.0,2002,Manuál,Benzín,104800,75.0
3000.0,2007,Manuál,Benzín,201200,75.0
3202.0,2005,Manuál,Diesel,299635,103.0
3202.0,2006,Manuál,Benzín,236728,75.0
3202.0,2010,Manuál,Benzín+Plyn,202370,75.0
3300.0,2010,Manuál,Benzín,310000,75.0
3300.0,2005,Manuál,Diesel,380000,103.0
3300.0,2003,Manuál,Benzín,211000,75.0
3300.0,2007,Manuál,Benzín,181327,75.0
3366.0,2006,Manuál,Benzín,180867,75.0
3160.0,2001,Manuál,Diesel,287900,66.0
3400.0,2007,Manuál,Diesel,268000,77.0
3400.0,2007,Manuál,Diesel,278235,77.0
3416.0,2009,Manuál,Benzín,231796,75.0
3416.0,2005,Manuál,Diesel,196192,77.0
3447.0,2009,Manuál,Diesel,295205,77.0
3447.0,2010,Manuál,Diesel,288663,77.0
3490.0,2008,Manuál,Benzín,238771,118.0
3499.0,2009,Manuál,Diesel,256000,74.0
3499.0,2007,Manuál,Diesel,329784,77.0
3500.0,2007,Manuál,Benzín,235000,85.0
3500.0,2008,Manuál,Diesel,411538,77.0
3500.0,2007,Manuál,Diesel,339676,77.0
3500.0,2005,Manuál,Benzín,207680,110.0
3500.0,2002,Manuál,Benzín,255000,110.0
3500.0,2008,Manuál,Diesel,291000,77.0
3500.0,2006,Manuál,Benzín,204000,75.0
3522.0,2010,Manuál,Diesel,291530,74.0
,2012,Manuál,Diesel,373000,77.0
3600.0,2007,Automat,Diesel,240952,77.0
3604.0,2007,Manuál,Benzín,283035,75.0
3400.0,2011,Manuál,Diesel,210000,103.0
3629.0,2006,Manuál,Benzín,265888,75.0
3629.0,2006,Manuál,Benzín,190399,75.0
3642.0,2007,Manuál,Diesel,286000,125.0
3650.0,2009,Automat,Diesel,298335,103.0
3650.0,2004,Manuál,Benzín,121471,75.0
3650.0,2009,Manuál,Diesel,292883,77.0
3650.0,2007,Manuál,Diesel,154338,103.0
3650.0,2006,Automat,Benzín,185220,75.0
3650.0,2006,Manuál,Benzín,171328,85.0
3700.0,2006,Manuál,Diesel,270000,77.0
3700.0,2010,Manuál,Diesel,310979,77.0
3700.0,2005,Manuál,Benzín,168334,75.0
3700.0,2002,Manuál,Benzín,132496,75.0
3700.0,2006,Manuál,Benzín,201817,75.0
3731.0,2008,Manuál,Diesel,195535,103.0
3560.0,2007,Manuál,Diesel,346895,77.0
3560.0,2006,Manuál,Diesel,225262,103.0
3800.0,2012,Manuál,Benzín,198226,75.0
3800.0,2010,Manuál,Diesel,190000,74.0
3800.0,2012,Manuál,Diesel,272938,77.0
3800.0,2006,Automat,Diesel,315571,103.0
3800.0,2018,Manuál,Benzín,399000,81.0
3800.0,2008,Manuál,Benzín,189747,75.0
3800.0,2006,Manuál,Benzín,246475,75.0
3843.0,2009,Manuál,Benzín,165987,75.0
3853.0,2007,Manuál,Benzín,134219,75.0
3853.0,2009,Manuál,Benzín,265117,75.0
3853.0,2006,Manuál,Diesel,138130,77.0
3900.0,2006,Manuál,Diesel,292871,103.0
3900.0,2007,Manuál,Benzín,218665,75.0
3900.0,2004,Manuál,Diesel,266575,103.0
3934.0,2009,Manuál,Diesel,261854,77.0
3949.0,2005,Manuál,Benzín,240265,75.0
3949.0,2004,Manuál,Benzín,170937,75.0
3950.0,2001,Manuál,Diesel,155500,81.0
3985.0,2010,Manuál,Diesel,300000,77.0
3990.0,2008,Automat,Diesel,212300,103.0
3999.0,2008,Manuál,Benzín+Plyn,222208,75.0
4000.0,2010,Manuál,Diesel,355000,77.0
4000.0,2006,Manuál,Diesel,183278,74.0
4000.0,2005,Manuál,Diesel,156800,77.0
3800.0,2009,Manuál,Diesel,189700,74.0
3800.0,2005,Manuál,Benzín,109696,75.0
4056.0,2009,Manuál,Diesel,296151,77.0
4056.0,2010,Manuál,Benzín,222478,77.0
4056.0,2008,Manuál,Diesel,166298,77.0
4056.0,2006,Automat,Diesel,174895,103.0
4056.0,2012,Manuál,Diesel,274314,103.0
4056.0,2008,Manuál,Diesel,226753,77.0
4100.0,2005,Manuál,Diesel,232266,77.0
4100.0,2005,Manuál,Benzín,177426,75.0
4100.0,2010,Manuál,Diesel,203653,74.0
4100.0,2008,Manuál,Diesel,314770,103.0
4100.0,2005,Manuál,Benzín,173157,110.0
4200.0,2008,Manuál,Diesel,242000,77.0
4200.0,2012,Manuál,Benzín,215000,59.0
4200.0,2011,Manuál,Diesel,303975,77.0
4200.0,2009,Manuál,Benzín,180691,59.0
4200.0,2008,Manuál,Diesel,245000,77.0
4227.0,2010,Manuál,Diesel,149981,74.0
,2017,Automat,Benzín,150000,110.0
4000.0,2009,Manuál,Benzín,266005,75.0
4269.0,2010,Manuál,Benzín,170280,75.0
4269.0,2006,Manuál,Benzín,169905,79.0
4299.0,2011,Automat,Diesel,253753,77.0
4299.0,2009,Manuál,Benzín,337563,75.0
4299.0,2005,Automat,Diesel,214799,103.0
4300.0,2007,Manuál,Benzín,150174,75.0
4300.0,2012,Manuál,Diesel,381714,77.0
4300.0,2009,Manuál,Benzín,108746,75.0
4300.0,2010,Manuál,Diesel,324804,103.0
4300.0,2010,Manuál,Diesel,159402,74.0
4300.0,2005,Manuál,Benzín,172802,75.0
4300.0,2010,Manuál,Diesel,269414,77.0
4300.0,2010,Manuál,Diesel,337826,77.0
4040.0,2009,Manuál,Benzín,249017,75.0
4333.0,2006,Manuál,Benzín,200969,110.0
4398.0,2009,Manuál,Benzín,120743,75.0
4450.0,2010,Manuál,Benzín,180502,75.0
4461.0,2007,Manuál,Diesel,282140,125.0
4461.0,2007,Manuál,Benzín,188222,75.0
,2015,Manuál,Diesel,215,110.0
4499.0,2007,Manuál,Diesel,232292,77.0
4500.0,2010,Manuál,Diesel,150254,74.0
4500.0,2011,Manuál,Diesel,294500,77.0
4500.0,2010,Manuál,Diesel,307584,103.0
4500.0,2010,Manuál,Diesel,307584,103.0
4500.0,2008,Automat,Diesel,292800,77.0
4500.0,2010,Manuál,Diesel,306542,77.0
4500.0,2007,Manuál,Benzín,264794,75.0
4590.0,2010,Automat,Diesel,301616,103.0
,2019,Manuál,Diesel,300000,85.0
4360.0,2010,Manuál,Diesel,314468,103.0
4360.0,2009,Manuál,Diesel,359776,77.0
4664.0,2009,Automat,Benzín,204509,90.0
4690.0,2006,Manuál,Diesel,232689,103.0
4396.0,2008,Manuál,Diesel,222000,77.0
4399.0,2009,Manuál,Benzín,176824,75.0
4696.0,2010,Manuál,Benzín,183593,75.0
4696.0,2007,Manuál,Benzín,101023,75.0
4696.0,2005,Manuál,Benzín,106632,75.0
4696.0,2007,Manuál,Benzín,105348,59.0
4700.0,2009,Manuál,Diesel,178131,74.0
4700.0,2004,Manuál,Diesel,118743,103.0
4700.0,2007,Automat,Benzín,198821,75.0
4700.0,2011,Manuál,Diesel,219577,77.0
4700.0,2010,Manuál,Diesel,204894,77.0
,2007,Automat,Diesel,213175,77.0
4790.0,2007,Manuál,Diesel,203000,77.0
4790.0,2004,Manuál,Diesel,223557,77.0
4800.0,2010,Manuál,Diesel,292884,77.0
4800.0,2012,Manuál,Benzín,198602,90.0
4800.0,2010,Manuál,Diesel,290000,77.0
4800.0,2011,Manuál,Diesel,303721,77.0
4800.0,2005,Manuál,Diesel,249852,77.0
4512.0,2007,Manuál,Benzín,218000,75.0
4520.0,2004,Manuál,Benzín,186868,75.0
4826.0,2010,Manuál,Benzín,184749,77.0
4850.0,2010,Manuál,Diesel,282500,77.0
4850.0,2011,Manuál,Diesel,304000,77.0
4867.0,2009,Manuál,Diesel,110931,77.0
4900.0,2010,Manuál,Diesel,261200,77.0
4900.0,2012,Manuál,Diesel,240906,77.0
4900.0,2011,Manuál,Benzín,98510,59.0
4900.0,2008,Manuál,Diesel,285260,77.0
4910.0,2007,Manuál,Benzín,175462,85.0
4910.0,2008,Manuál,Diesel,254167,77.0
4910.0,2008,Manuál,Benzín,193958,75.0
4636.0,2006,Automat,Diesel,253662,77.0
4640.0,2009,Manuál,Diesel,124755,77.0
4990.0,2012,Manuál,Diesel,312500,77.0
4990.0,2004,Manuál,Diesel,224103,103.0
4999.0,2008,Automat,Diesel,265307,77.0
4999.0,2009,Manuál,Diesel,352963,103.0
5000.0,2004,Manuál,Benzín+Plyn,225892,110.0
5000.0,2011,Manuál,Diesel,200300,77.0
5000.0,2007,Manuál,Diesel,240100,77.0
5000.0,2010,Manuál,Diesel,251591,77.0
5000.0,2009,Manuál,Diesel,145155,77.0
5000.0,2007,Automat,Diesel,168162,77.0
5000.0,2007,Manuál,Diesel,248143,103.0
5000.0,2010,Manuál,Diesel,299141,77.0
5000.0,2010,Manuál,Diesel,237990,77.0
5069.0,2012,Manuál,Diesel,239189,77.0
5100.0,2009,Manuál,Benzín,200949,75.0
4792.0,2009,Manuál,Diesel,256000,103.0
5150.0,2012,Manuál,Diesel,233193,77.0
5151.0,2011,Manuál,Benzín,233753,75.0
5200.0,2013,Manuál,Diesel,379107,77.0
5200.0,2011,Manuál,Diesel,303228,77.0
5200.0,2009,Manuál,Benzín,125875,75.0
5200.0,2010,Manuál,Diesel,228350,77.0
5200.0,2011,Manuál,Benzín,161545,118.0
5200.0,2008,Manuál,Diesel,286971,103.0
5272.0,2011,Manuál,Diesel,212913,77.0
5300.0,2011,Manuál,Diesel,231625,77.0
5300.0,2011,Manuál,Benzín,129914,59.0
5324.0,2010,Manuál,Diesel,150007,74.0
5000.0,2006,Manuál,Benzín,135046,85.0
5337.0,2006,Manuál,Diesel,160048,77.0
5337.0,2010,Manuál,Benzín,81350,75.0
5394.0,2010,Manuál,Diesel,154472,77.0
,2013,Manuál,Diesel,284447,77.0
5400.0,2011,Manuál,Benzín,158609,75.0
5400.0,2008,Manuál,Diesel,207354,77.0
5400.0,2009,Manuál,Benzín,195008,90.0
5460.0,2010,Manuál,Benzín,209000,77.0
5465.0,2007,Manuál,Diesel,183737,77.0
5469.0,2005,Manuál,Benzín,166418,85.0
5475.0,2009,Manuál,Benzín,126034,90.0
5475.0,2009,Manuál,Benzín,173753,75.0
5490.0,2007,Manuál,Diesel,182182,77.0
5499.0,2001,Automat,Diesel,94871,66.0
5500.0,2012,Manuál,Benzín,220000,75.0
5500.0,2012,Manuál,Diesel,245771,77.0
5507.0,2009,Manuál,Diesel,235624,77.0
5199.0,2012,Manuál,Diesel,225515,103.0
5550.0,2010,Manuál,Diesel,273100,77.0
5599.0,2013,Manuál,Diesel,272000,77.0
5600.0,2008,Manuál,Diesel,199625,103.0
5600.0,2011,Manuál,Diesel,256000,103.0
5600.0,2012,Manuál,Diesel,203876,77.0
5600.0,2009,Manuál,Benzín,164412,118.0
5600.0,2009,Manuál,Benzín,215000,90.0
5600.0,2009,Manuál,Diesel,204162,77.0
5600.0,2009,Manuál,Benzín,164128,118.0
5600.0,2010,Manuál,Benzín,190048,90.0
5320.0,2002,Manuál,Benzín,311000,132.0
5700.0,2010,Manuál,Diesel,319801,77.0
5700.0,2012,Manuál,Diesel,241894,77.0
5700.0,2010,Manuál,Diesel,225970,77.0
5360.0,2008,Manuál,Benzín,183547,75.0
5721.0,2010,Manuál,Diesel,192850,77.0
5752.0,2007,Manuál,Diesel,140800,77.0
5759.0,2010,Manuál,Diesel,128163,77.0
5764.0,2009,Manuál,Benzín,185591,59.0
5764.0,2011,Manuál,Benzín,231303,77.0
5764.0,2005,Manuál,Diesel,135935,77.0
5770.0,2012,Manuál,Diesel,215800,77.0
5799.0,2011,Manuál,Benzín,151000,75.0
5800.0,2013,Manuál,Diesel,307000,77.0
5800.0,2012,Manuál,Benzín,126779,59.0
5800.0,2010,Manuál,Benzín,102256,77.0
5800.0,2010,Manuál,Diesel,266054,103.0
5880.0,2011,Manuál,Diesel,159247,77.0
5520.0,2009,Manuál,Benzín,215841,75.0
5900.0,2012,Manuál,Diesel,217586,81.0
5900.0,2012,Manuál,Diesel,257649,77.0
5900.0,2008,Automat,Diesel,152000,103.0
,2011,Automat,Diesel,227500,77.0
5921.0,2007,Manuál,Diesel,226070,125.0
5933.0,2009,Manuál,Benzín,143479,118.0
5560.0,2004,Manuál,Benzín,112000,75.0
5596.0,2004,Manuál,Diesel,174000,81.0
5596.0,2008,Manuál,Benzín,156439,75.0
5977.0,2011,Manuál,Diesel,254594,77.0
5977.0,2011,Manuál,Benzín,205750,90.0
5977.0,2010,Manuál,Diesel,255691,77.0
5990.0,2007,Manuál,Benzín,106600,75.0
5990.0,2007,Manuál,Diesel,247019,77.0
5999.0,2010,Manuál,Benzín,158537,77.0
5999.0,2011,Manuál,Benzín,177346,77.0
5999.0,2006,Manuál,Benzín,125206,75.0
5999.0,2009,Manuál,Diesel,146000,77.0
5999.0,2005,Manuál,Diesel,109200,103.0
6000.0,2014,Manuál,Diesel,320000,77.0
6000.0,2012,Manuál,Diesel,160000,77.0
6000.0,2012,Manuál,Diesel,207218,77.0
6000.0,2011,Manuál,Diesel,243306,103.0
6000.0,2007,Manuál,Diesel,213,
6000.0,2012,Automat,Benzín,240000,77.0
6000.0,2010,Manuál,Diesel,205081,77.0
,2020,Manuál,Diesel,63923,85.0
6000.0,2012,Manuál,Diesel,273010,77.0
6000.0,2009,Manuál,Benzín,169156,90.0
6000.0,2009,Manuál,Benzín,63494,75.0
6000.0,2010,Manuál,Benzín,178976,77.0
6000.0,2012,Manuál,Diesel,246001,77.0
6000.0,2012,Manuál,Benzín,134400,77.0
6000.0,2012,Manuál,Benzín,147578,77.0
6000.0,2012,Manuál,Diesel,248772,77.0
6000.0,2014,Manuál,Diesel,450000,110.0
6000.0,2010,Manuál,Benzín+Plyn,231853,75.0
6100.0,2011,Manuál,Diesel,177621,77.0
6190.0,2006,Manuál,Benzín,154002,75.0
6190.0,2011,Manuál,Diesel,261667,77.0
6200.0,2012,Manuál,Diesel,224245,103.0
6200.0,2012,Manuál,Diesel,223048,77.0
6200.0,2007,Manuál,Benzín,228389,147.0
6200.0,2009,Manuál,Diesel,191585,77.0
6200.0,2011,Manuál,Benzín,181776,90.0
6200.0,2009,Manuál,Diesel,178464,77.0
6286.0,2012,Manuál,Diesel,110805,77.0
6300.0,2010,Manuál,Benzín,138180,77.0
6319.0,2004,Manuál,Benzín,87788,75.0
6319.0,2010,Manuál,Diesel,193594,77.0
6367.0,2011,Manuál,Diesel,186637,77.0
6390.0,2010,Manuál,Benzín,146870,77.0
6400.0,2010,Manuál,Benzín,170952,90.0
6400.0,2009,Manuál,Diesel,168757,77.0
6400.0,2009,Manuál,Benzín,67342,59.0
6400.0,2013,Manuál,Diesel,243445,77.0
6400.0,2011,Manuál,Benzín,142604,77.0
6400.0,2012,Manuál,Benzín,174757,90.0
6400.0,2012,Manuál,Benzín,95775,77.0
6400.0,2011,Manuál,Diesel,203431,77.0
6400.0,2009,Manuál,Diesel,237878,103.0
6400.0,2011,Manuál,Benzín,111275,90.0
6400.0,2008,Manuál,Benzín,204296,147.0
,2012,Manuál,Benzín,134360,77.0
6404.0,2011,Manuál,Diesel,237564,77.0
6404.0,2011,Manuál,Benzín,155612,77.0
,2010,Manuál,Diesel,215242,77.0
6404.0,2010,Manuál,Benzín,174965,77.0
6404.0,2012,Manuál,Diesel,169666,77.0
6404.0,2009,Manuál,Diesel,112698,77.0
6404.0,2007,Manuál,Benzín,88267,75.0
,2014,Manuál,Diesel,297781,77.0
6485.0,2012,Manuál,Diesel,206893,77.0
6489.0,2010,Manuál,Benzín,146006,90.0
6490.0,2014,Manuál,Diesel,309000,77.0
6490.0,2009,Manuál,Diesel,169000,77.0
6490.0,2013,Manuál,Diesel,96733,77.0
6500.0,2012,Manuál,Benzín+Plyn,108600,75.0
6112.0,2011,Manuál,Diesel,159200,77.0
6600.0,2011,Manuál,Benzín,104005,118.0
6600.0,2012,Manuál,Diesel,297938,77.0
6600.0,2012,Manuál,Benzín,130684,77.0
6600.0,2011,Manuál,Benzín,201574,90.0
6600.0,2011,Manuál,Diesel,131311,77.0
6600.0,2010,Manuál,Diesel,151000,77.0
6600.0,2009,Manuál,Diesel,152689,77.0
6200.0,2012,Manuál,Benzín,214500,118.0
6617.0,2010,Automat,Diesel,216111,77.0
6617.0,2011,Manuál,Benzín,133562,77.0
6617.0,2010,Manuál,Benzín,184177,75.0
6617.0,2012,Manuál,Benzín,166048,90.0
6650.0,2009,Manuál,Diesel,215820,77.0
,2009,Manuál,Diesel,223000,77.0
6690.0,2014,Manuál,Benzín,176000,63.0
6320.0,2011,Manuál,Benzín,99000,77.0
6745.0,2012,Manuál,Benzín,137099,75.0
6745.0,2009,Manuál,Benzín,186823,90.0
6757.0,2012,Manuál,Diesel,253834,103.0
,2014,Manuál,Benzín+Plyn,326000,81.0
6360.0,2009,Manuál,Diesel,233000,77.0
6800.0,2011,Automat,Diesel,336825,125.0
6831.0,2009,Manuál,Diesel,198694,77.0
6850.0,2011,Automat,Diesel,291604,125.0
6900.0,2012,Manuál,Diesel,185811,81.0
6900.0,2012,Manuál,Diesel,204353,77.0
6900.0,2011,Manuál,Benzín,97620,77.0
6900.0,2013,Manuál,Benzín,192165,77.0
6900.0,2011,Manuál,Diesel,167129,77.0
6900.0,2011,Automat,Diesel,174000,77.0
,2014,Manuál,Diesel,250000,77.0
6480.0,2012,Manuál,Diesel,130959,77.0
6990.0,2009,Manuál,Diesel,131000,77.0
7000.0,2013,Manuál,Diesel,222748,77.0
